Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1966,Taiyo Whales,P,inagaw000mak,Makoto Inagawa,43,NA,NA,NA,NA,NA,NA,NA
1966,Taiyo Whales,P,ono---002sho,Shoichi Ono,41,NA,NA,NA,NA,NA,NA,NA
1966,Taiyo Whales,P,sasaki000kic,Yoshiro Sasaki,38,NA,NA,NA,NA,NA,NA,NA
1966,Taiyo Whales,P,hiraok000ich,Ichiro Hiraoka,37,NA,NA,NA,NA,NA,NA,NA
1966,Taiyo Whales,P,niihar000shi,Shinji Niihari,37,NA,NA,NA,NA,NA,NA,NA
1966,Taiyo Whales,P,oikawa000nob,NObushi Oikawa,36,NA,NA,NA,NA,NA,NA,NA
1966,Taiyo Whales,P,akiyam000nob,Noboru Akiyama,34,NA,NA,NA,NA,NA,NA,NA
1966,Taiyo Whales,P,takaha001shi,Shigeyuki Takahashi,34,NA,NA,NA,NA,NA,NA,NA
1966,Taiyo Whales,P,stanka001joe,Joe Stanka,32,NA,NA,NA,NA,NA,NA,NA
1966,Taiyo Whales,P,nishi-000mit,Mitsuo Nishi,23,NA,NA,NA,NA,NA,NA,NA
1966,Taiyo Whales,P,mine--000kun,Kuniyasu Mine,12,NA,NA,NA,NA,NA,NA,NA
1966,Taiyo Whales,P,ejiri-000aki,Akira Ejiri,5,NA,NA,NA,NA,NA,NA,NA
1966,Taiyo Whales,P,shimad000gen,Gentaro Shimada,5,NA,NA,NA,NA,NA,NA,NA
1966,Taiyo Whales,P,tsuji-001yos,Yoshiyuki Tsuji,2,NA,NA,NA,NA,NA,NA,NA
