Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1966,Toei Flyers,P,ozaki-000yuk,Yukio Ozaki,65,NA,NA,NA,NA,NA,NA,NA
1966,Toei Flyers,P,tanaka002mit,Mitsugu Tanaka,50,NA,NA,NA,NA,NA,NA,NA
1966,Toei Flyers,P,saga--000ken,Kenshiro Saga,46,NA,NA,NA,NA,NA,NA,NA
1966,Toei Flyers,P,moriya000tos,Toshiaki Moriyasu,44,NA,NA,NA,NA,NA,NA,NA
1966,Toei Flyers,P,itoh--000yos,Yoshiaki Ito,37,NA,NA,NA,NA,NA,NA,NA
1966,Toei Flyers,P,yamamo003yos,Yoshiji Yamamoto,22,NA,NA,NA,NA,NA,NA,NA
1966,Toei Flyers,P,nagaya000mas,Masayuki Nagayasu,21,NA,NA,NA,NA,NA,NA,NA
1966,Toei Flyers,P,dobash000mas,Masayuki Dobashi,19,NA,NA,NA,NA,NA,NA,NA
1966,Toei Flyers,P,miyaza000sho,Shoji Miyazaki,4,NA,NA,NA,NA,NA,NA,NA
1966,Toei Flyers,P,matsut000eij,Eiji Matsutani,1,NA,NA,NA,NA,NA,NA,NA
