Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1966,Tokyo Orions,P,koyama000mas,Masaaki Koyama,49,NA,NA,NA,NA,NA,NA,NA
1966,Tokyo Orions,P,narita000fum,Fumio Narita,45,NA,NA,NA,NA,NA,NA,NA
1966,Tokyo Orions,P,sakota000shi,Shichiro Sakota,35,NA,NA,NA,NA,NA,NA,NA
1966,Tokyo Orions,P,suzuki007tak,Takashi Suzuki,35,NA,NA,NA,NA,NA,NA,NA
1966,Tokyo Orions,P,sakai-000kat,Katsuji Sakai,33,NA,NA,NA,NA,NA,NA,NA
1966,Tokyo Orions,P,maki--000kat,Katsuhiko Maki,28,NA,NA,NA,NA,NA,NA,NA
1966,Tokyo Orions,P,tsumas000yos,Yoshiro Tsumajima,27,NA,NA,NA,NA,NA,NA,NA
1966,Tokyo Orions,P,ryu---000tak,Takayuki Ryu,25,NA,NA,NA,NA,NA,NA,NA
1966,Tokyo Orions,P,kitaru000mas,Masaaki Kitaru,17,NA,NA,NA,NA,NA,NA,NA
1966,Tokyo Orions,P,sato--000mot,Motohiko Sato,10,NA,NA,NA,NA,NA,NA,NA
1966,Tokyo Orions,P,tsujin000kin,Kinya Tsujino,7,NA,NA,NA,NA,NA,NA,NA
1966,Tokyo Orions,P,kurimo000mit,Mitsuaki Kurimoto,6,NA,NA,NA,NA,NA,NA,NA
1966,Tokyo Orions,P,yokoya000koj,Kojiro Yokoyama,6,NA,NA,NA,NA,NA,NA,NA
