Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1967,Sankei Atoms,OF,robert004dav,Dave Roberts,126,NA,NA,NA,NA,NA,NA,NA
1967,Sankei Atoms,OF,jackso001lou,Lou Jackson,114,NA,NA,NA,NA,NA,NA,NA
1967,Sankei Atoms,OF,maruya000kan,Kanji Maruyama,94,NA,NA,NA,NA,NA,NA,NA
1967,Sankei Atoms,OF,fukuto000kun,Kunio Fukutomi,72,NA,NA,NA,NA,NA,NA,NA
1967,Sankei Atoms,OF,takaya000tad,Tadakatsu Takayama,57,NA,NA,NA,NA,NA,NA,NA
1967,Sankei Atoms,OF,wakebe000yos,Yoshio Wakebe,16,NA,NA,NA,NA,NA,NA,NA
1967,Sankei Atoms,OF,kobuch000tai,Taisuke Kobuchi,11,NA,NA,NA,NA,NA,NA,NA
1967,Sankei Atoms,OF,yamamo000hac,Hachiro Yamamoto,9,NA,NA,NA,NA,NA,NA,NA
1967,Sankei Atoms,OF,sasaki000tsu,Takeshi Sasaki,2,NA,NA,NA,NA,NA,NA,NA
1967,Sankei Atoms,OF,asano-000kei,Keishi Asano,1,NA,NA,NA,NA,NA,NA,NA
1967,Sankei Atoms,OF,murata000gen,Genichi Murata,1,NA,NA,NA,NA,NA,NA,NA
1967,Sankei Atoms,OF,otsuka000tor,Toru Otsuka,1,NA,NA,NA,NA,NA,NA,NA
1967,Sankei Atoms,OF,sato--000sus,Susumu Sato,1,NA,NA,NA,NA,NA,NA,NA
1967,Sankei Atoms,OF,shiman000mas,Masanobu Shimano,1,NA,NA,NA,NA,NA,NA,NA
1967,Sankei Atoms,OF,watana000kaz,Kazushi Watanabe,1,NA,NA,NA,NA,NA,NA,NA
1967,Sankei Atoms,OF,yamamo001hir,Hiroshi Yamamoto,1,NA,NA,NA,NA,NA,NA,NA
