Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1970,Lotte Orions,P,yagisa000sor,Soroku Yagisawa,43,NA,NA,NA,NA,NA,NA,NA
1970,Lotte Orions,P,kitaru000mas,Masaaki Kitaru,42,NA,NA,NA,NA,NA,NA,NA
1970,Lotte Orions,P,koyama000mas,Masaaki Koyama,38,NA,NA,NA,NA,NA,NA,NA
1970,Lotte Orions,P,narita000fum,Fumio Narita,38,NA,NA,NA,NA,NA,NA,NA
1970,Lotte Orions,P,sato--000mot,Motohiko Sato,31,NA,NA,NA,NA,NA,NA,NA
1970,Lotte Orions,P,murata000cho,Choji Murata,21,NA,NA,NA,NA,NA,NA,NA
1970,Lotte Orions,P,hiraok000ich,Ichiro Hiraoka,20,NA,NA,NA,NA,NA,NA,NA
1970,Lotte Orions,P,maeda-000kos,Kosuke Maeda,18,NA,NA,NA,NA,NA,NA,NA
1970,Lotte Orions,P,mizuta000mic,Michio Mizutani,12,NA,NA,NA,NA,NA,NA,NA
1970,Lotte Orions,P,kawaba002kaz,Kazuto Kawabata,7,NA,NA,NA,NA,NA,NA,NA
1970,Lotte Orions,P,tsumas000yos,Yoshiro Tsumajima,4,NA,NA,NA,NA,NA,NA,NA
1970,Lotte Orions,P,sato--000kei,Keiji Sato,2,NA,NA,NA,NA,NA,NA,NA
1970,Lotte Orions,P,yamada001mas,Masao Yamada,1,NA,NA,NA,NA,NA,NA,NA
