Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1973,Osaka Kintetsu Buffaloes,1B,ise---000tak,Takao Ise,68,NA,NA,NA,NA,NA,NA,NA
1973,Osaka Kintetsu Buffaloes,1B,ogawa-000tor,Toru Ogawa,62,NA,NA,NA,NA,NA,NA,NA
1973,Osaka Kintetsu Buffaloes,1B,robert004dav,Dave Roberts,17,NA,NA,NA,NA,NA,NA,NA
1973,Osaka Kintetsu Buffaloes,1B,sasaki000kyo,Kyosuke Sasaki,14,NA,NA,NA,NA,NA,NA,NA
1973,Osaka Kintetsu Buffaloes,1B,doi---002mas,Masahiro Doi,12,NA,NA,NA,NA,NA,NA,NA
1973,Osaka Kintetsu Buffaloes,1B,arita-000shu,Shuzo Arita,3,NA,NA,NA,NA,NA,NA,NA
1973,Osaka Kintetsu Buffaloes,1B,kondo-000kaz,Kazuhiko Kondo,3,NA,NA,NA,NA,NA,NA,NA
1973,Osaka Kintetsu Buffaloes,1B,manabe000mik,Mikizo Manabe,1,NA,NA,NA,NA,NA,NA,NA
1973,Osaka Kintetsu Buffaloes,1B,nishim000shu,Shunji Nishimura,1,NA,NA,NA,NA,NA,NA,NA
1973,Osaka Kintetsu Buffaloes,1B,oba---000tak,Takahiro Oba,1,NA,NA,NA,NA,NA,NA,NA
