Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1974,Nippon Ham Flyers,SS,suenag000yos,Yoshiyuki Suenaga,75,NA,NA,NA,NA,NA,NA,NA
1974,Nippon Ham Flyers,SS,nakaha000mas,Katsutoshi Nakahara,59,NA,NA,NA,NA,NA,NA,NA
1974,Nippon Ham Flyers,SS,aimoto000kaz,Kazunori Aimoto,11,NA,NA,NA,NA,NA,NA,NA
1974,Nippon Ham Flyers,SS,yaezaw000ken,Kenichi Yaezawa,9,NA,NA,NA,NA,NA,NA,NA
1974,Nippon Ham Flyers,SS,takaha001hir,Hiroshi Takahashi,4,NA,NA,NA,NA,NA,NA,NA
1974,Nippon Ham Flyers,SS,morina000chi,Chikara Morinaka,2,NA,NA,NA,NA,NA,NA,NA
1974,Nippon Ham Flyers,SS,kosaka000tos,Toshihiko Kosaka,1,NA,NA,NA,NA,NA,NA,NA
1974,Nippon Ham Flyers,SS,sakamo000tos,Toshizo Sakamoto,1,NA,NA,NA,NA,NA,NA,NA
1974,Nippon Ham Flyers,SS,shinya000aki,Akira Shinya,1,NA,NA,NA,NA,NA,NA,NA
1974,Nippon Ham Flyers,SS,watana003hid,Hidetake Watanabe,1,NA,NA,NA,NA,NA,NA,NA
