Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1974,Taiyo Whales,OF,nakats000mas,Masayuki Nakatsuka,125,NA,NA,NA,NA,NA,NA,NA
1974,Taiyo Whales,OF,ejiri-000aki,Akira Ejiri,111,NA,NA,NA,NA,NA,NA,NA
1974,Taiyo Whales,OF,etoh--000shi,Shinichi Eto,106,NA,NA,NA,NA,NA,NA,NA
1974,Taiyo Whales,OF,nagasa000kei,Keiji Nagasaki,75,NA,NA,NA,NA,NA,NA,NA
1974,Taiyo Whales,OF,shigem000sho,Shozo Shigematsu,46,NA,NA,NA,NA,NA,NA,NA
1974,Taiyo Whales,OF,kobaya001koj,Koji Kobayashi,39,NA,NA,NA,NA,NA,NA,NA
1974,Taiyo Whales,OF,kusaka000mas,Masakatsu Kusaka,14,NA,NA,NA,NA,NA,NA,NA
1974,Taiyo Whales,OF,yano--000tos,Toshikazu Yano,7,NA,NA,NA,NA,NA,NA,NA
1974,Taiyo Whales,OF,sato--000ryu,Ryuichiro Sato,4,NA,NA,NA,NA,NA,NA,NA
1974,Taiyo Whales,OF,furuta000tad,Tadashi Furuta,3,NA,NA,NA,NA,NA,NA,NA
1974,Taiyo Whales,OF,noguch002yos,Yoshio Noguchi,1,NA,NA,NA,NA,NA,NA,NA
