Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1975,Hankyu Braves,1B,kato--002hid,Hideji Kato,123,NA,NA,NA,NA,NA,NA,NA
1975,Hankyu Braves,1B,takai-000yas,Yasuhiro Takai,18,NA,NA,NA,NA,NA,NA,NA
1975,Hankyu Braves,1B,okamot000kaz,Kazumitsu Okamoto,9,NA,NA,NA,NA,NA,NA,NA
1975,Hankyu Braves,1B,imai--000yut,Yutaro Imai,2,NA,NA,NA,NA,NA,NA,NA
1975,Hankyu Braves,1B,yoneda000tet,Tetsuya Yoneda,2,NA,NA,NA,NA,NA,NA,NA
1975,Hankyu Braves,1B,adachi000mit,Mitsuhiro Adachi,1,NA,NA,NA,NA,NA,NA,NA
1975,Hankyu Braves,1B,arai--000yos,Yoshio Arai,1,NA,NA,NA,NA,NA,NA,NA
1975,Hankyu Braves,1B,kawamu000ken,Kenichiro Kawamura,1,NA,NA,NA,NA,NA,NA,NA
1975,Hankyu Braves,1B,kirito000tak,Takeshi Kiritoshi,1,NA,NA,NA,NA,NA,NA,NA
1975,Hankyu Braves,1B,miyosh000yuk,Yukio Miyoshi,1,NA,NA,NA,NA,NA,NA,NA
1975,Hankyu Braves,1B,nagaik000ats,Atsushi Nagaike,1,NA,NA,NA,NA,NA,NA,NA
1975,Hankyu Braves,1B,uno---000ter,Teruyuki Uno,1,NA,NA,NA,NA,NA,NA,NA
1975,Hankyu Braves,1B,yamada000his,Hisashi Yamada,1,NA,NA,NA,NA,NA,NA,NA
