Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1976,Hankyu Braves,OF,fukumo000yut,Yutaka Fukumoto,129,NA,NA,NA,NA,NA,NA,NA
1976,Hankyu Braves,OF,willia002ber,Bernie Williams,128,NA,NA,NA,NA,NA,NA,NA
1976,Hankyu Braves,OF,okuma-000tad,Tadayoshi Okuma,116,NA,NA,NA,NA,NA,NA,NA
1976,Hankyu Braves,OF,shogak000hir,Hironori Shogaki,39,NA,NA,NA,NA,NA,NA,NA
1976,Hankyu Braves,OF,nagaik000ats,Atsushi Nagaike,10,NA,NA,NA,NA,NA,NA,NA
1976,Hankyu Braves,OF,sato--000aki,Akio Sato,10,NA,NA,NA,NA,NA,NA,NA
1976,Hankyu Braves,OF,togin-000hid,Hidetaka Togin,10,NA,NA,NA,NA,NA,NA,NA
1976,Hankyu Braves,OF,komats000ken,Kenji Komatsu,7,NA,NA,NA,NA,NA,NA,NA
1976,Hankyu Braves,OF,minoda000koj,Koji Minoda,3,NA,NA,NA,NA,NA,NA,NA
1976,Hankyu Braves,OF,marcan001rob,Robert Marcano,2,NA,NA,NA,NA,NA,NA,NA
1976,Hankyu Braves,OF,miyosh000yuk,Yukio Miyoshi,1,NA,NA,NA,NA,NA,NA,NA
1976,Hankyu Braves,OF,nakani000hir,Hiroaki Nakanishi,1,NA,NA,NA,NA,NA,NA,NA
1976,Hankyu Braves,OF,ohashi000yut,Yutaka Ohashi,1,NA,NA,NA,NA,NA,NA,NA
1976,Hankyu Braves,OF,okamot000kaz,Kazumitsu Okamoto,1,NA,NA,NA,NA,NA,NA,NA
