Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1976,Nankai Hawks,P,sato--000mic,Michiro Sato,54,NA,NA,NA,NA,NA,NA,NA
1976,Nankai Hawks,P,enatsu000yut,Yutaka Enatsu,36,NA,NA,NA,NA,NA,NA,NA
1976,Nankai Hawks,P,yamauc000shi,Shinichi Yamauchi,33,NA,NA,NA,NA,NA,NA,NA
1976,Nankai Hawks,P,nakaya000koi,Koichi Nakayama,30,NA,NA,NA,NA,NA,NA,NA
1976,Nankai Hawks,P,fujita000man,Manabu Fujita,27,NA,NA,NA,NA,NA,NA,NA
1976,Nankai Hawks,P,fukush000hir,Hiroaki Fukushi,24,NA,NA,NA,NA,NA,NA,NA
1976,Nankai Hawks,P,hoshin000hid,Hidetaka Hoshino,23,NA,NA,NA,NA,NA,NA,NA
1976,Nankai Hawks,P,ikenou000tor,Toru Ikenoue,14,NA,NA,NA,NA,NA,NA,NA
1976,Nankai Hawks,P,sasaki000koi,Koichiro Sasaki,13,NA,NA,NA,NA,NA,NA,NA
1976,Nankai Hawks,P,kadota000sum,Sumiyoshi Kadota,1,NA,NA,NA,NA,NA,NA,NA
1976,Nankai Hawks,P,muraka000ets,Etsuo Murakami,1,NA,NA,NA,NA,NA,NA,NA
