Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1977,Hankyu Buffaloes,OF,fukumo000yut,Yutaka Fukumoto,130,NA,NA,NA,NA,NA,NA,NA
1977,Hankyu Buffaloes,OF,okuma-000tad,Tadayoshi Okuma,122,NA,NA,NA,NA,NA,NA,NA
1977,Hankyu Buffaloes,OF,willia002ber,Bernie Williams,122,NA,NA,NA,NA,NA,NA,NA
1977,Hankyu Buffaloes,OF,minoda000koj,Koji Minoda,61,NA,NA,NA,NA,NA,NA,NA
1977,Hankyu Buffaloes,OF,fujii-000eij,Eiji Fujii,23,NA,NA,NA,NA,NA,NA,NA
1977,Hankyu Buffaloes,OF,osumi-000mas,Masato Osumi,3,NA,NA,NA,NA,NA,NA,NA
1977,Hankyu Buffaloes,OF,sasamo000shi,Shinji Sasamoto,3,NA,NA,NA,NA,NA,NA,NA
1977,Hankyu Buffaloes,OF,nagaik000ats,Atsushi Nagaike,2,NA,NA,NA,NA,NA,NA,NA
1977,Hankyu Buffaloes,OF,togin-000hid,Hidetaka Togin,2,NA,NA,NA,NA,NA,NA,NA
1977,Hankyu Buffaloes,OF,okamot000kaz,Kazumitsu Okamoto,1,NA,NA,NA,NA,NA,NA,NA
