Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1977,Hanshin Tigers,P,yamamo004kaz,Kazuyuki Yamamoto,58,NA,NA,NA,NA,NA,NA,NA
1977,Hanshin Tigers,P,aniya-000soh,Sohachi Aniya,48,NA,NA,NA,NA,NA,NA,NA
1977,Hanshin Tigers,P,emoto-000tak,Takenori Emoto,36,NA,NA,NA,NA,NA,NA,NA
1977,Hanshin Tigers,P,furusa000ken,Kenji Furusawa,36,NA,NA,NA,NA,NA,NA,NA
1977,Hanshin Tigers,P,ikeuch000yut,Yutaka Ikeuchi,36,NA,NA,NA,NA,NA,NA,NA
1977,Hanshin Tigers,P,tanimu000tom,Tomohiro Tanimura,36,NA,NA,NA,NA,NA,NA,NA
1977,Hanshin Tigers,P,ueda--000jir,Jiro Ueda,30,NA,NA,NA,NA,NA,NA,NA
1977,Hanshin Tigers,P,masuya000sei,Seikyoku Masuyama,28,NA,NA,NA,NA,NA,NA,NA
1977,Hanshin Tigers,P,fukaza000yos,Yoshio Fukazawa,13,NA,NA,NA,NA,NA,NA,NA
1977,Hanshin Tigers,P,takemu000kaz,Kazuyoshi Takemura,13,NA,NA,NA,NA,NA,NA,NA
1977,Hanshin Tigers,P,ueda--001tak,Takuzo Ueda,4,NA,NA,NA,NA,NA,NA,NA
1977,Hanshin Tigers,P,hasega000tsu,Tsutomu Hasegawa,3,NA,NA,NA,NA,NA,NA,NA
1977,Hanshin Tigers,P,arai--000yos,Yoshio Arai,2,NA,NA,NA,NA,NA,NA,NA
1977,Hanshin Tigers,P,miyata000nor,Norikazu Miyata,2,NA,NA,NA,NA,NA,NA,NA
