Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1977,Nankai Hawks,OF,kadota000hir,Hiromitsu Kadota,128,NA,NA,NA,NA,NA,NA,NA
1977,Nankai Hawks,OF,arai--000hir,Hiromasa Arai,121,NA,NA,NA,NA,NA,NA,NA
1977,Nankai Hawks,OF,sadaok000chi,Chiaki Sadaoka,96,NA,NA,NA,NA,NA,NA,NA
1977,Nankai Hawks,OF,sakata000tak,Takashi Sakata,73,NA,NA,NA,NA,NA,NA,NA
1977,Nankai Hawks,OF,kashiw000jun,Junichi Kashiwabara,61,NA,NA,NA,NA,NA,NA,NA
1977,Nankai Hawks,OF,horii-000kaz,Kazuto Horii,23,NA,NA,NA,NA,NA,NA,NA
1977,Nankai Hawks,OF,hirose000yos,Yoshinori Hirose,22,NA,NA,NA,NA,NA,NA,NA
1977,Nankai Hawks,OF,toyama000yos,Yoshiaki Toyama,21,NA,NA,NA,NA,NA,NA,NA
1977,Nankai Hawks,OF,katahi000shu,Shinsaku Katahira,17,NA,NA,NA,NA,NA,NA,NA
1977,Nankai Hawks,OF,yoneta000nob,Nobuo Yonetani,16,NA,NA,NA,NA,NA,NA,NA
1977,Nankai Hawks,OF,pierce001lav,Jack Pierce,9,NA,NA,NA,NA,NA,NA,NA
1977,Nankai Hawks,OF,mochid000mit,Mitsuru Mochizuki,7,NA,NA,NA,NA,NA,NA,NA
1977,Nankai Hawks,OF,matsum000yos,Yoshiyuki Matsumoto,1,NA,NA,NA,NA,NA,NA,NA
1977,Nankai Hawks,OF,yamamo004mas,Masao Yamamoto,1,NA,NA,NA,NA,NA,NA,NA
