Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1977,Nippon Ham Fighters,P,muraka001mas,Masanori Murakami,61,NA,NA,NA,NA,NA,NA,NA
1977,Nippon Ham Fighters,P,miyamo000yuk,Yukinobu Miyamoto,41,NA,NA,NA,NA,NA,NA,NA
1977,Nippon Ham Fighters,P,eda---000koi,Koichi Eda,40,NA,NA,NA,NA,NA,NA,NA
1977,Nippon Ham Fighters,P,takaha000nao,Naoki Takahashi,36,NA,NA,NA,NA,NA,NA,NA
1977,Nippon Ham Fighters,P,takaha004kaz,Kazumi Takahashi,34,NA,NA,NA,NA,NA,NA,NA
1977,Nippon Ham Fighters,P,saeki-000kaz,Kazushi Saeki,33,NA,NA,NA,NA,NA,NA,NA
1977,Nippon Ham Fighters,P,nomura000osa,Osamu Nomura,27,NA,NA,NA,NA,NA,NA,NA
1977,Nippon Ham Fighters,P,sugita000his,Hisao Sugita,14,NA,NA,NA,NA,NA,NA,NA
1977,Nippon Ham Fighters,P,uda---000tos,Toshoku Uda,13,NA,NA,NA,NA,NA,NA,NA
1977,Nippon Ham Fighters,P,miura-001mas,Masaki Miura,9,NA,NA,NA,NA,NA,NA,NA
1977,Nippon Ham Fighters,P,miyamo000yos,Yoshinobu Miyamoto,6,NA,NA,NA,NA,NA,NA,NA
1977,Nippon Ham Fighters,P,taniya000tak,Takaaki Taniyama,6,NA,NA,NA,NA,NA,NA,NA
1977,Nippon Ham Fighters,P,nakaha000isa,Isamu Nakahara,4,NA,NA,NA,NA,NA,NA,NA
