Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1981,Hiroshima Toyo Carp,P,ono---000yut,Yutaka Ono,57,NA,NA,NA,NA,NA,NA,NA
1981,Hiroshima Toyo Carp,P,watana003hid,Hidetake Watanabe,43,NA,NA,NA,NA,NA,NA,NA
1981,Hiroshima Toyo Carp,P,ogawa-002kun,Kunikazu Ogawa,37,NA,NA,NA,NA,NA,NA,NA
1981,Hiroshima Toyo Carp,P,fukush000hir,Hiroaki Fukushi,35,NA,NA,NA,NA,NA,NA,NA
1981,Hiroshima Toyo Carp,P,kitabe000man,Manabu Kitabeppu,32,NA,NA,NA,NA,NA,NA,NA
1981,Hiroshima Toyo Carp,P,yamamo003kaz,Kazuo Yamamoto,30,NA,NA,NA,NA,NA,NA,NA
1981,Hiroshima Toyo Carp,P,yamane000kaz,Kazuo Yamane,29,NA,NA,NA,NA,NA,NA,NA
1981,Hiroshima Toyo Carp,P,ikegay000koj,Kojiro Ikegaya,25,NA,NA,NA,NA,NA,NA,NA
1981,Hiroshima Toyo Carp,P,takaha000nao,Naoki Takahashi,16,NA,NA,NA,NA,NA,NA,NA
1981,Hiroshima Toyo Carp,P,kaneda000tam,Tomehiro Kaneda,8,NA,NA,NA,NA,NA,NA,NA
1981,Hiroshima Toyo Carp,P,kawagu000kaz,Kazuhisa Kawaguchi,7,NA,NA,NA,NA,NA,NA,NA
1981,Hiroshima Toyo Carp,P,saeki-000kaz,Kazushi Saeki,6,NA,NA,NA,NA,NA,NA,NA
1981,Hiroshima Toyo Carp,P,kataok000mit,Mitsuhiro Kataoka,5,NA,NA,NA,NA,NA,NA,NA
1981,Hiroshima Toyo Carp,P,aniya-000soh,Sohachi Aniya,1,NA,NA,NA,NA,NA,NA,NA
1981,Hiroshima Toyo Carp,P,doi---003mas,Masashi Doi,1,NA,NA,NA,NA,NA,NA,NA
