Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1984,Seibu Lions,OF,white-002jer,Jerry White,129,NA,NA,NA,NA,NA,NA,NA
1984,Seibu Lions,OF,tachib000yos,Yoshiie Tachibana,84,NA,NA,NA,NA,NA,NA,NA
1984,Seibu Lions,OF,nishio000yos,Yoshihiro Nishioka,78,NA,NA,NA,NA,NA,NA,NA
1984,Seibu Lions,OF,kanamo000eij,Eiji Kanamori,54,NA,NA,NA,NA,NA,NA,NA
1984,Seibu Lions,OF,komaza001yuk,Yukiichi Komazaki,47,NA,NA,NA,NA,NA,NA,NA
1984,Seibu Lions,OF,okamur000tak,Takanori Okamura,34,NA,NA,NA,NA,NA,NA,NA
1984,Seibu Lions,OF,akiyam001koj,Koji Akiyama,33,NA,NA,NA,NA,NA,NA,NA
1984,Seibu Lions,OF,hiroha000koj,Koju Hirohashi,23,NA,NA,NA,NA,NA,NA,NA
1984,Seibu Lions,OF,ota---001tak,Takuji Ota,10,NA,NA,NA,NA,NA,NA,NA
1984,Seibu Lions,OF,aoyama001mic,Michio Aoyama,8,NA,NA,NA,NA,NA,NA,NA
1984,Seibu Lions,OF,ozawa-000mak,Makoto Ozawa,2,NA,NA,NA,NA,NA,NA,NA
