Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1985,Hankyu Braves,P,yamaok000yuk,Yukihiko Yamaoki,38,NA,NA,NA,NA,NA,NA,NA
1985,Hankyu Braves,P,imai--000yut,Yutaro Imai,35,NA,NA,NA,NA,NA,NA,NA
1985,Hankyu Braves,P,sato--003yos,Yoshinori Sato,35,NA,NA,NA,NA,NA,NA,NA
1985,Hankyu Braves,P,yamada000his,Hisashi Yamada,30,NA,NA,NA,NA,NA,NA,NA
1985,Hankyu Braves,P,tani--000ryo,Ryoji Tani,25,NA,NA,NA,NA,NA,NA,NA
1985,Hankyu Braves,P,kanamo000sei,Seikichi Kanamoto,21,NA,NA,NA,NA,NA,NA,NA
1985,Hankyu Braves,P,hoshin001nob,Nobuyuki Hoshino,17,NA,NA,NA,NA,NA,NA,NA
1985,Hankyu Braves,P,miyamo002shi,Shiro Miyamoto,16,NA,NA,NA,NA,NA,NA,NA
1985,Hankyu Braves,P,kojima000mas,Masanobu Kojima,15,NA,NA,NA,NA,NA,NA,NA
1985,Hankyu Braves,P,mori--001koj,Koji Mori,12,NA,NA,NA,NA,NA,NA,NA
1985,Hankyu Braves,P,tanimu000tom,Tomohiro Tanimura,12,NA,NA,NA,NA,NA,NA,NA
1985,Hankyu Braves,P,ota---000tos,Toshiyuki Ota,10,NA,NA,NA,NA,NA,NA,NA
1985,Hankyu Braves,P,furumi000kat,Katsuyuki Furumizo,9,NA,NA,NA,NA,NA,NA,NA
1985,Hankyu Braves,P,nonaka000tet,Tetsuhiro Nonaka,7,NA,NA,NA,NA,NA,NA,NA
1985,Hankyu Braves,P,enokid000ken,Kenichiro Enokida,3,NA,NA,NA,NA,NA,NA,NA
1985,Hankyu Braves,P,kinosh001tom,Tomohiro Kinoshita,2,NA,NA,NA,NA,NA,NA,NA
