Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1985,Hanshin Tigers,OF,mayumi001aki,Akinobu Mayumi,116,NA,NA,NA,NA,NA,NA,NA
1985,Hanshin Tigers,OF,kitamu000ter,Terufumi Kitamura,110,NA,NA,NA,NA,NA,NA,NA
1985,Hanshin Tigers,OF,yoshit000har,Haruki Yoshitake,106,NA,NA,NA,NA,NA,NA,NA
1985,Hanshin Tigers,OF,sano--000nor,Noriyoshi Sano,104,NA,NA,NA,NA,NA,NA,NA
1985,Hanshin Tigers,OF,hirota000sum,Sumio Hirota,62,NA,NA,NA,NA,NA,NA,NA
1985,Hanshin Tigers,OF,nagasa000kei,Keiji Nagasaki,24,NA,NA,NA,NA,NA,NA,NA
1985,Hanshin Tigers,OF,ono---000his,Hisashi Ono,11,NA,NA,NA,NA,NA,NA,NA
1985,Hanshin Tigers,OF,tomari000kat,Katsunori Tomari,3,NA,NA,NA,NA,NA,NA,NA
1985,Hanshin Tigers,OF,hikima000kat,Katsuyuki Hikima,2,NA,NA,NA,NA,NA,NA,NA
1985,Hanshin Tigers,OF,tsukiy000eij,Eiju Tsukiyama,1,NA,NA,NA,NA,NA,NA,NA
