Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1985,Lotte Orions,OF,yokota000mas,Masashi Yokota,124,NA,NA,NA,NA,NA,NA,NA
1985,Lotte Orions,OF,takaza000hid,Hideaki Takazawa,119,NA,NA,NA,NA,NA,NA,NA
1985,Lotte Orions,OF,shoji-000tom,Tomohisa Shoji,84,NA,NA,NA,NA,NA,NA,NA
1985,Lotte Orions,OF,arito-000mic,Michiyo Arito,74,NA,NA,NA,NA,NA,NA,NA
1985,Lotte Orions,OF,yoshio000tos,Toshiaki Yoshioka,65,NA,NA,NA,NA,NA,NA,NA
1985,Lotte Orions,OF,aikoh-001tak,Takeshi Aiko,31,NA,NA,NA,NA,NA,NA,NA
1985,Lotte Orions,OF,takaha000chu,Chuichi Takahashi,22,NA,NA,NA,NA,NA,NA,NA
1985,Lotte Orions,OF,fujiku000kaz,Kazumasa Fujikura,8,NA,NA,NA,NA,NA,NA,NA
1985,Lotte Orions,OF,muto--000kaz,Kazukuni Muto,7,NA,NA,NA,NA,NA,NA,NA
1985,Lotte Orions,OF,okabe-000aki,Akihito Okabe,4,NA,NA,NA,NA,NA,NA,NA
