Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1988,Seibu Lions,P,oda---000shi,Shinya Oda,41,NA,NA,NA,NA,NA,NA,NA
1988,Seibu Lions,P,kuroha000yuj,Yuji Kurohara,33,NA,NA,NA,NA,NA,NA,NA
1988,Seibu Lions,P,yamane000kaz,Kazuo Yamane,32,NA,NA,NA,NA,NA,NA,NA
1988,Seibu Lions,P,moriya000ryo,Ryoji Moriyama,28,NA,NA,NA,NA,NA,NA,NA
1988,Seibu Lions,P,watana001his,Hisanobu Watanabe,28,NA,NA,NA,NA,NA,NA,NA
1988,Seibu Lions,P,kudoh-001kim,Kimiyasu Kudo,24,NA,NA,NA,NA,NA,NA,NA
1988,Seibu Lions,P,matsun003hir,Hirohisa Matsunuma,23,NA,NA,NA,NA,NA,NA,NA
1988,Seibu Lions,P,mori--002shi,Shigekazu Mori,21,NA,NA,NA,NA,NA,NA,NA
1988,Seibu Lions,P,higash000osa,Osamu Higashio,19,NA,NA,NA,NA,NA,NA,NA
1988,Seibu Lions,P,kaku--000tai,Taigen Kaku,19,NA,NA,NA,NA,NA,NA,NA
1988,Seibu Lions,P,haragu002tet,Tetsuya Haraguchi,18,NA,NA,NA,NA,NA,NA,NA
1988,Seibu Lions,P,ichimu000nor,Norio Ichimura,11,NA,NA,NA,NA,NA,NA,NA
1988,Seibu Lions,P,takaya001iku,Ikuo Takayama,11,NA,NA,NA,NA,NA,NA,NA
1988,Seibu Lions,P,ogawa-000mun,Munenao Ogawa,8,NA,NA,NA,NA,NA,NA,NA
1988,Seibu Lions,P,okada-001hir,Hirokazu Okada,8,NA,NA,NA,NA,NA,NA,NA
1988,Seibu Lions,P,maeda-001koj,Koji Maeda,6,NA,NA,NA,NA,NA,NA,NA
1988,Seibu Lions,P,hirose000shi,Shintaro Hirose,5,NA,NA,NA,NA,NA,NA,NA
1988,Seibu Lions,P,nishim000kaz,Kazuhito Nishimoto,5,NA,NA,NA,NA,NA,NA,NA
1988,Seibu Lions,P,kamei-001tak,Taketo Kanei,2,NA,NA,NA,NA,NA,NA,NA
1988,Seibu Lions,P,matsun000mas,Masayuki Matsunuma,1,NA,NA,NA,NA,NA,NA,NA
