Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1988,Yokohama Taiyo Whales,OF,ponce-002car,Carlos Ponce,124,NA,NA,NA,NA,NA,NA,NA
1988,Yokohama Taiyo Whales,OF,yashik000kan,Kaname Yashiki,120,NA,NA,NA,NA,NA,NA,NA
1988,Yokohama Taiyo Whales,OF,pacior001jam,Jim Paciorek,76,NA,NA,NA,NA,NA,NA,NA
1988,Yokohama Taiyo Whales,OF,ishiba000mit,Mitsugu Ishibashi,66,NA,NA,NA,NA,NA,NA,NA
1988,Yokohama Taiyo Whales,OF,yamaza000ken,Kenichi Yamazaki,65,NA,NA,NA,NA,NA,NA,NA
1988,Yokohama Taiyo Whales,OF,kawano000yas,Yasuhiko Kawano,20,NA,NA,NA,NA,NA,NA,NA
1988,Yokohama Taiyo Whales,OF,kato--000hir,Hirokazu Kato,14,NA,NA,NA,NA,NA,NA,NA
1988,Yokohama Taiyo Whales,OF,miyash000shi,Masahiko Miyashita,6,NA,NA,NA,NA,NA,NA,NA
1988,Yokohama Taiyo Whales,OF,takagi000yut,Yutaka Takagi,6,NA,NA,NA,NA,NA,NA,NA
1988,Yokohama Taiyo Whales,OF,iwashi000mas,Masaaki Iwashita,1,NA,NA,NA,NA,NA,NA,NA
