Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1988,Yokohama Taiyo Whales,P,nakaya001hir,Hiroaki Nakayama,70,NA,NA,NA,NA,NA,NA,NA
1988,Yokohama Taiyo Whales,P,kakeha000mit,Mitsunori Kakehata,51,NA,NA,NA,NA,NA,NA,NA
1988,Yokohama Taiyo Whales,P,ishika004mas,Masaru Ishikawa,44,NA,NA,NA,NA,NA,NA,NA
1988,Yokohama Taiyo Whales,P,matsum000yut,Yutaka Matsumoto,43,NA,NA,NA,NA,NA,NA,NA
1988,Yokohama Taiyo Whales,P,daimon000kaz,Kazuhiko Daimon,32,NA,NA,NA,NA,NA,NA,NA
1988,Yokohama Taiyo Whales,P,okamot000tor,Toru Okamoto,31,NA,NA,NA,NA,NA,NA,NA
1988,Yokohama Taiyo Whales,P,niura-000his,Hisao Niura,29,NA,NA,NA,NA,NA,NA,NA
1988,Yokohama Taiyo Whales,P,nagai-000tam,Tamotsu Nagai,27,NA,NA,NA,NA,NA,NA,NA
1988,Yokohama Taiyo Whales,P,saito-000aki,Akio Saito,24,NA,NA,NA,NA,NA,NA,NA
1988,Yokohama Taiyo Whales,P,endo--000kaz,Kazuhiko Endo,23,NA,NA,NA,NA,NA,NA,NA
1988,Yokohama Taiyo Whales,P,aikawa000hid,Hideaki Aikawa,17,NA,NA,NA,NA,NA,NA,NA
1988,Yokohama Taiyo Whales,P,kida--000isa,Isamu Kida,16,NA,NA,NA,NA,NA,NA,NA
1988,Yokohama Taiyo Whales,P,takeda000mit,Mitsukuni Takeda,7,NA,NA,NA,NA,NA,NA,NA
1988,Yokohama Taiyo Whales,P,kitano001kat,Katsunori Kitano,5,NA,NA,NA,NA,NA,NA,NA
1988,Yokohama Taiyo Whales,P,morita001kok,Koki Morita,3,NA,NA,NA,NA,NA,NA,NA
1988,Yokohama Taiyo Whales,P,nomura001hir,Hiroki Nomura,2,NA,NA,NA,NA,NA,NA,NA
1988,Yokohama Taiyo Whales,P,sekine002hir,Hirofumi Sekine,1,NA,NA,NA,NA,NA,NA,NA
1988,Yokohama Taiyo Whales,P,takaha003kaz,Kazuhiko Takahashi,1,NA,NA,NA,NA,NA,NA,NA
