Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1989,Orix Braves,OF,fujii-001yas,Yasuo Fujii,119,NA,NA,NA,NA,NA,NA,NA
1989,Orix Braves,OF,motoni001ats,Atsuhiro Motonishi,100,NA,NA,NA,NA,NA,NA,NA
1989,Orix Braves,OF,minami000toy,Toyozo Minamimure,95,NA,NA,NA,NA,NA,NA,NA
1989,Orix Braves,OF,ishimi000kaz,Kazuhiko Ishimine,64,NA,NA,NA,NA,NA,NA,NA
1989,Orix Braves,OF,kumano000ter,Terumitsu Kumano,54,NA,NA,NA,NA,NA,NA,NA
1989,Orix Braves,OF,kadota000hir,Hiromitsu Kadota,51,NA,NA,NA,NA,NA,NA,NA
1989,Orix Braves,OF,yamamo003mas,Masafumi Yamamori,38,NA,NA,NA,NA,NA,NA,NA
1989,Orix Braves,OF,brown-005tod,Todd Brown,27,NA,NA,NA,NA,NA,NA,NA
1989,Orix Braves,OF,shibah000min,Minoru Shibahara,2,NA,NA,NA,NA,NA,NA,NA
1989,Orix Braves,OF,iizuka000tom,Tomiji Iizuka,1,NA,NA,NA,NA,NA,NA,NA
1989,Orix Braves,OF,takaha001sat,Satoshi Takahashi,1,NA,NA,NA,NA,NA,NA,NA
