Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1990,Hanshin Tigers,1B,parris001lar,Larry Parrish,103,NA,NA,NA,NA,NA,NA,NA
1990,Hanshin Tigers,1B,hirata000kat,Katsuo Hirata,38,NA,NA,NA,NA,NA,NA,NA
1990,Hanshin Tigers,1B,kanamo000eij,Eiji Kanamori,15,NA,NA,NA,NA,NA,NA,NA
1990,Hanshin Tigers,1B,yamagu000shi,Shigeyuki Yamaguchi,10,NA,NA,NA,NA,NA,NA,NA
1990,Hanshin Tigers,1B,wielig001ric,Richard Wieligman,5,NA,NA,NA,NA,NA,NA,NA
1990,Hanshin Tigers,1B,ayukaw001yos,Yoshifumi Ayukawa,4,NA,NA,NA,NA,NA,NA,NA
1990,Hanshin Tigers,1B,tao---000yas,Yasushi Tao,3,NA,NA,NA,NA,NA,NA,NA
1990,Hanshin Tigers,1B,tomari000kat,Katsunori Tomari,3,NA,NA,NA,NA,NA,NA,NA
1990,Hanshin Tigers,1B,yamawa000koj,Koji Yamawaki,3,NA,NA,NA,NA,NA,NA,NA
1990,Hanshin Tigers,1B,yokota000soi,Soichi Yokotani,1,NA,NA,NA,NA,NA,NA,NA
