Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1991,Hiroshima Toyo Carp,OF,maeda-001tom,Tomonori Maeda,126,NA,NA,NA,NA,NA,NA,NA
1991,Hiroshima Toyo Carp,OF,nishid000shi,Shinji Nishida,97,NA,NA,NA,NA,NA,NA,NA
1991,Hiroshima Toyo Carp,OF,ogata-001koh,Koichi Ogata,88,NA,NA,NA,NA,NA,NA,NA
1991,Hiroshima Toyo Carp,OF,yamasa000ryu,Ryuzo Yamasaki,88,NA,NA,NA,NA,NA,NA,NA
1991,Hiroshima Toyo Carp,OF,allen-002rod,Rod Allen,63,NA,NA,NA,NA,NA,NA,NA
1991,Hiroshima Toyo Carp,OF,oto---000shi,Shigeki Oto,45,NA,NA,NA,NA,NA,NA,NA
1991,Hiroshima Toyo Carp,OF,nishiy001shu,Shuji Nishiyama,19,NA,NA,NA,NA,NA,NA,NA
1991,Hiroshima Toyo Carp,OF,takaza000hid,Hideaki Takazawa,16,NA,NA,NA,NA,NA,NA,NA
1991,Hiroshima Toyo Carp,OF,kawada001yus,Yusuke Kawada,6,NA,NA,NA,NA,NA,NA,NA
1991,Hiroshima Toyo Carp,OF,vanbur001tyl,Ty Van Burkleo,6,NA,NA,NA,NA,NA,NA,NA
1991,Hiroshima Toyo Carp,OF,chiyom001aki,Shoshi Chiyomaru,3,NA,NA,NA,NA,NA,NA,NA
1991,Hiroshima Toyo Carp,OF,ishiba002fum,Fumio Ishibashi,3,NA,NA,NA,NA,NA,NA,NA
1991,Hiroshima Toyo Carp,OF,nihei-000kao,Kaoru Nihei,3,NA,NA,NA,NA,NA,NA,NA
1991,Hiroshima Toyo Carp,OF,kobaya001tak,Takehiko Kobayakawa,2,NA,NA,NA,NA,NA,NA,NA
