Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1991,Orix Blue Wave,OF,motoni001ats,Atsuhiro Motonishi,121,NA,NA,NA,NA,NA,NA,NA
1991,Orix Blue Wave,OF,takaha001sat,Satoshi Takahashi,120,NA,NA,NA,NA,NA,NA,NA
1991,Orix Blue Wave,OF,fujii-001yas,Yasuo Fujii,107,NA,NA,NA,NA,NA,NA,NA
1991,Orix Blue Wave,OF,yamamo003mas,Masafumi Yamamori,80,NA,NA,NA,NA,NA,NA,NA
1991,Orix Blue Wave,OF,kumano000ter,Terumitsu Kumano,30,NA,NA,NA,NA,NA,NA,NA
1991,Orix Blue Wave,OF,sato--000kaz,Kazuhiro Sato,18,NA,NA,NA,NA,NA,NA,NA
1991,Orix Blue Wave,OF,minami000toy,Toyozo Minamimure,9,NA,NA,NA,NA,NA,NA,NA
1991,Orix Blue Wave,OF,ishimi000kaz,Kazuhiko Ishimine,6,NA,NA,NA,NA,NA,NA,NA
1991,Orix Blue Wave,OF,fujimo000tsu,Tsuyoshi Fujimoto,4,NA,NA,NA,NA,NA,NA,NA
1991,Orix Blue Wave,OF,muraka000shi,Shinichi Murakami,4,NA,NA,NA,NA,NA,NA,NA
1991,Orix Blue Wave,OF,shibah000min,Minoru Shibahara,3,NA,NA,NA,NA,NA,NA,NA
1991,Orix Blue Wave,OF,sakaem000tad,Tadahiro Sakaemura,2,NA,NA,NA,NA,NA,NA,NA
