Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1994,Yomiuri Giants,OF,matsui001hid,Hideki Matsui,130,NA,NA,NA,NA,NA,NA,NA
1994,Yomiuri Giants,OF,cotto-001hen,Henry Cotto,105,NA,NA,NA,NA,NA,NA,NA
1994,Yomiuri Giants,OF,gladde001cli,Dan Gladden,96,NA,NA,NA,NA,NA,NA,NA
1994,Yomiuri Giants,OF,yashik000kan,Kaname Yashiki,80,NA,NA,NA,NA,NA,NA,NA
1994,Yomiuri Giants,OF,ogata-000koi,Koichi Ogata,65,NA,NA,NA,NA,NA,NA,NA
1994,Yomiuri Giants,OF,yoshim000sad,Sadaaki Yoshimura,37,NA,NA,NA,NA,NA,NA,NA
1994,Yomiuri Giants,OF,nishio000yos,Yoshihiro Nishioka,23,NA,NA,NA,NA,NA,NA,NA
1994,Yomiuri Giants,OF,kishik000kat,Katsuya Kishigawa,8,NA,NA,NA,NA,NA,NA,NA
1994,Yomiuri Giants,OF,inoue-002shi,Shinji Inoue,5,NA,NA,NA,NA,NA,NA,NA
1994,Yomiuri Giants,OF,gotoh-001koj,Koji Goto,2,NA,NA,NA,NA,NA,NA,NA
