Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1995,Orix Blue Wave,P,hirai-001mas,Masafumi Hirai,53,NA,NA,NA,NA,NA,NA,NA
1995,Orix Blue Wave,P,suzuki001tai,Taira Suzuki,50,NA,NA,NA,NA,NA,NA,NA
1995,Orix Blue Wave,P,kiyoha000yui,Yuichi Kiyohara,43,NA,NA,NA,NA,NA,NA,NA
1995,Orix Blue Wave,P,nomura001tak,Takahito Nomura,37,NA,NA,NA,NA,NA,NA,NA
1995,Orix Blue Wave,P,watana000nob,Nobuhiko Watanabe,32,NA,NA,NA,NA,NA,NA,NA
1995,Orix Blue Wave,P,noda--001koj,Koji Noda,26,NA,NA,NA,NA,NA,NA,NA
1995,Orix Blue Wave,P,hasega001shi,Shigetoshi Hasegawa,24,NA,NA,NA,NA,NA,NA,NA
1995,Orix Blue Wave,P,hoshin001nob,Nobuyuki Hoshino,24,NA,NA,NA,NA,NA,NA,NA
1995,Orix Blue Wave,P,watabe000tak,Takashi Watabe,24,NA,NA,NA,NA,NA,NA,NA
1995,Orix Blue Wave,P,itoh--002tak,Takahide Ito,18,NA,NA,NA,NA,NA,NA,NA
1995,Orix Blue Wave,P,takaha001koi,Koichi Takahashi,18,NA,NA,NA,NA,NA,NA,NA
1995,Orix Blue Wave,P,sato--003yos,Yoshinori Sato,16,NA,NA,NA,NA,NA,NA,NA
1995,Orix Blue Wave,P,kobaya002hir,Hiroshi Kobayashi,15,NA,NA,NA,NA,NA,NA,NA
1995,Orix Blue Wave,P,maruo-000eij,Eiji Maruo,4,NA,NA,NA,NA,NA,NA,NA
1995,Orix Blue Wave,P,kaneda001mas,Masahiko Kaneda,3,NA,NA,NA,NA,NA,NA,NA
1995,Orix Blue Wave,P,makino001rui,Rui Makino,2,NA,NA,NA,NA,NA,NA,NA
1995,Orix Blue Wave,P,ebisu-001nob,Nobuyuki Ebisu,1,NA,NA,NA,NA,NA,NA,NA
1995,Orix Blue Wave,P,mizuo-001yos,Yoshitaka Mizuo,1,NA,NA,NA,NA,NA,NA,NA
