Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1996,Osaka Kintetsu Buffaloes,P,sano--001shi,Shigeki Sano,57,NA,NA,NA,NA,NA,NA,NA
1996,Osaka Kintetsu Buffaloes,P,akahor001mot,Motoyuki Akahori,44,NA,NA,NA,NA,NA,NA,NA
1996,Osaka Kintetsu Buffaloes,P,kiyoka000eij,Eiji Kiyokawa,44,NA,NA,NA,NA,NA,NA,NA
1996,Osaka Kintetsu Buffaloes,P,ikeue-001koi,Koichi Ikeue,39,NA,NA,NA,NA,NA,NA,NA
1996,Osaka Kintetsu Buffaloes,P,sakai-001hir,Hiroki Sakai,26,NA,NA,NA,NA,NA,NA,NA
1996,Osaka Kintetsu Buffaloes,P,aquino001lui,Luis Aquino,25,NA,NA,NA,NA,NA,NA,NA
1996,Osaka Kintetsu Buffaloes,P,yamasa001shi,Shintaro Yamasaki,25,NA,NA,NA,NA,NA,NA,NA
1996,Osaka Kintetsu Buffaloes,P,koike-001hid,Hideo Koike,21,NA,NA,NA,NA,NA,NA,NA
1996,Osaka Kintetsu Buffaloes,P,kubo--002yas,Yasuo Kubo,21,NA,NA,NA,NA,NA,NA,NA
1996,Osaka Kintetsu Buffaloes,P,seo---002yos,Yoshihiro Seo,18,NA,NA,NA,NA,NA,NA,NA
1996,Osaka Kintetsu Buffaloes,P,takamu001hir,Hiroshi Takamura,18,NA,NA,NA,NA,NA,NA,NA
1996,Osaka Kintetsu Buffaloes,P,nishik001shi,Shinichi Nishikawa,12,NA,NA,NA,NA,NA,NA,NA
1996,Osaka Kintetsu Buffaloes,P,shibat001kaz,Kazuya Shibata,10,NA,NA,NA,NA,NA,NA,NA
1996,Osaka Kintetsu Buffaloes,P,shinad001aya,Ayahito Shinada,9,NA,NA,NA,NA,NA,NA,NA
1996,Osaka Kintetsu Buffaloes,P,matsut000ryu,Ryujiro Matsutani,7,NA,NA,NA,NA,NA,NA,NA
1996,Osaka Kintetsu Buffaloes,P,esaka-000mas,Masaaki Esaka,4,NA,NA,NA,NA,NA,NA,NA
1996,Osaka Kintetsu Buffaloes,P,kohda-001isa,Isao Koda,4,NA,NA,NA,NA,NA,NA,NA
1996,Osaka Kintetsu Buffaloes,P,nishim001tat,Tatsuji Nishimura,4,NA,NA,NA,NA,NA,NA,NA
1996,Osaka Kintetsu Buffaloes,P,terama000mas,Masao Teramae,2,NA,NA,NA,NA,NA,NA,NA
1996,Osaka Kintetsu Buffaloes,P,minami001shi,Shinichiro Minami,1,NA,NA,NA,NA,NA,NA,NA
1996,Osaka Kintetsu Buffaloes,P,osaka-000kat,Katsuhito Osaka,1,NA,NA,NA,NA,NA,NA,NA
