Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1997,Chiba Lotte Marines,OF,morozu001ken,Kenji Morozumi,106,NA,NA,NA,NA,NA,NA,NA
1997,Chiba Lotte Marines,OF,hirai-001mit,Mitsuchika Hirai,84,NA,NA,NA,NA,NA,NA,NA
1997,Chiba Lotte Marines,OF,tachik001tak,Takashi Tachikawa,72,NA,NA,NA,NA,NA,NA,NA
1997,Chiba Lotte Marines,OF,ohmura001iwa,Iwao Omura,60,NA,NA,NA,NA,NA,NA,NA
1997,Chiba Lotte Marines,OF,thomps003jas,Jason Thompson,59,NA,NA,NA,NA,NA,NA,NA
1997,Chiba Lotte Marines,OF,ohmura001sab,Saburo Omura,32,NA,NA,NA,NA,NA,NA,NA
1997,Chiba Lotte Marines,OF,takaha000mas,Masahiro Takahashi,26,NA,NA,NA,NA,NA,NA,NA
1997,Chiba Lotte Marines,OF,ohtsuk001aki,Akira Otsuka,25,NA,NA,NA,NA,NA,NA,NA
1997,Chiba Lotte Marines,OF,satoh-001yuk,Yukihiko Sato,24,NA,NA,NA,NA,NA,NA,NA
1997,Chiba Lotte Marines,OF,carreo001mar,Mark Carreon,23,NA,NA,NA,NA,NA,NA,NA
1997,Chiba Lotte Marines,OF,yamash000nor,Norihito Yamashita,20,NA,NA,NA,NA,NA,NA,NA
1997,Chiba Lotte Marines,OF,igaras001aki,Akihito Igarashi,15,NA,NA,NA,NA,NA,NA,NA
1997,Chiba Lotte Marines,OF,hayaka001ken,Kenichiro Hayakawa,4,NA,NA,NA,NA,NA,NA,NA
1997,Chiba Lotte Marines,OF,nishim001nor,Norifumi Nishimura,1,NA,NA,NA,NA,NA,NA,NA
