Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1997,Osaka Kintetsu Buffaloes,OF,rhodes001kar,Karl Rhodes,135,NA,NA,NA,NA,NA,NA,NA
1997,Osaka Kintetsu Buffaloes,OF,suzuki003tak,Takahisa Suzuki,123,NA,NA,NA,NA,NA,NA,NA
1997,Osaka Kintetsu Buffaloes,OF,matoya001tet,Tetsuya Matoyama,98,NA,NA,NA,NA,NA,NA,NA
1997,Osaka Kintetsu Buffaloes,OF,ohmura001nao,Naoyuki Omura,95,NA,NA,NA,NA,NA,NA,NA
1997,Osaka Kintetsu Buffaloes,OF,nakane001hit,Hitoshi Nakane,36,NA,NA,NA,NA,NA,NA,NA
1997,Osaka Kintetsu Buffaloes,OF,muraka001tak,Takayuki Murakami,23,NA,NA,NA,NA,NA,NA,NA
1997,Osaka Kintetsu Buffaloes,OF,isobe-001koi,Koichi Isobe,17,NA,NA,NA,NA,NA,NA,NA
1997,Osaka Kintetsu Buffaloes,OF,abe---001osa,Osamu Abe,13,NA,NA,NA,NA,NA,NA,NA
1997,Osaka Kintetsu Buffaloes,OF,yoshio001yuj,Yuji Yoshioka,9,NA,NA,NA,NA,NA,NA,NA
1997,Osaka Kintetsu Buffaloes,OF,moriya001kaz,Kazuto Moriyama,5,NA,NA,NA,NA,NA,NA,NA
1997,Osaka Kintetsu Buffaloes,OF,takumi001mas,Masahiro Takumi,5,NA,NA,NA,NA,NA,NA,NA
1997,Osaka Kintetsu Buffaloes,OF,mifune001hid,Hideyuki Mifune,3,NA,NA,NA,NA,NA,NA,NA
1997,Osaka Kintetsu Buffaloes,OF,fujita001jir,Jiro Fujitate,2,NA,NA,NA,NA,NA,NA,NA
1997,Osaka Kintetsu Buffaloes,OF,arai--001yuk,Yukio Arai,1,NA,NA,NA,NA,NA,NA,NA
1997,Osaka Kintetsu Buffaloes,OF,kawagu001ken,Kenshi Kawaguchi,1,NA,NA,NA,NA,NA,NA,NA
