Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1997,Yokohama Bay Stars,OF,haru--001tos,Toshio Haru,122,NA,NA,NA,NA,NA,NA,NA
1997,Yokohama Bay Stars,OF,suzuki002tak,Takanori Suzuki,119,NA,NA,NA,NA,NA,NA,NA
1997,Yokohama Bay Stars,OF,saeki-001tak,Takahiro Saeki,81,NA,NA,NA,NA,NA,NA,NA
1997,Yokohama Bay Stars,OF,miyaza000fut,Futoshi Miyazato,43,NA,NA,NA,NA,NA,NA,NA
1997,Yokohama Bay Stars,OF,hataya001hit,Hitoshi Hatayama,39,NA,NA,NA,NA,NA,NA,NA
1997,Yokohama Bay Stars,OF,kawaba001kaz,Kazuaki Kawabata,36,NA,NA,NA,NA,NA,NA,NA
1997,Yokohama Bay Stars,OF,selby-001wil,Bill Selby,26,NA,NA,NA,NA,NA,NA,NA
1997,Yokohama Bay Stars,OF,inoue-001jun,Jun Inoue,25,NA,NA,NA,NA,NA,NA,NA
1997,Yokohama Bay Stars,OF,tamura001hit,Hitoshi Tamura,7,NA,NA,NA,NA,NA,NA,NA
1997,Yokohama Bay Stars,OF,kawasa001yos,Yoshifumi Kawasaki,4,NA,NA,NA,NA,NA,NA,NA
1997,Yokohama Bay Stars,OF,nagami000ken,Kenji Nagami,3,NA,NA,NA,NA,NA,NA,NA
