Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1998,Chunichi Dragons,OF,sekika001koi,Koichi Sekikawa,120,NA,NA,NA,NA,NA,NA,NA
1998,Chunichi Dragons,OF,inoue-001kaz,Kazuki Inoue,105,NA,NA,NA,NA,NA,NA,NA
1998,Chunichi Dragons,OF,tatsun001kaz,Kazuyoshi Tatsunami,86,NA,NA,NA,NA,NA,NA,NA
1998,Chunichi Dragons,OF,ohnish001tak,Takayuki Onishi,85,NA,NA,NA,NA,NA,NA,NA
1998,Chunichi Dragons,OF,yamagu000koj,Koji Yamaguchi,58,NA,NA,NA,NA,NA,NA,NA
1998,Chunichi Dragons,OF,masuda001dai,Daisuke Masuda,38,NA,NA,NA,NA,NA,NA,NA
1998,Chunichi Dragons,OF,tsutsu001soh,So Tsutsui,20,NA,NA,NA,NA,NA,NA,NA
1998,Chunichi Dragons,OF,harada001mas,Masahiko Harada,12,NA,NA,NA,NA,NA,NA,NA
1998,Chunichi Dragons,OF,lee---003jon,Jong Beom Lee,12,NA,NA,NA,NA,NA,NA,NA
1998,Chunichi Dragons,OF,yasuda001hid,Hideyuki Yasuda,12,NA,NA,NA,NA,NA,NA,NA
1998,Chunichi Dragons,OF,oto---000shi,Shigeki Oto,8,NA,NA,NA,NA,NA,NA,NA
1998,Chunichi Dragons,OF,torigo001yus,Yusuke Torigoe,6,NA,NA,NA,NA,NA,NA,NA
1998,Chunichi Dragons,OF,araki-001mas,Masahiro Araki,5,NA,NA,NA,NA,NA,NA,NA
1998,Chunichi Dragons,OF,nihei-000kao,Kaoru Nihei,2,NA,NA,NA,NA,NA,NA,NA
1998,Chunichi Dragons,OF,hikono000tos,Toshikatsu Hikono,1,NA,NA,NA,NA,NA,NA,NA
1998,Chunichi Dragons,OF,yamasa002tak,Takeshi Yamasaki,1,NA,NA,NA,NA,NA,NA,NA
