Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1998,Fukuoka Daiei Hawks,1B,lopez-004lui,Luis Lopez,114,NA,NA,NA,NA,NA,NA,NA
1998,Fukuoka Daiei Hawks,1B,yanagi001shi,Shikato Yanagita,37,NA,NA,NA,NA,NA,NA,NA
1998,Fukuoka Daiei Hawks,1B,uchino001tok,Takashi Uchinokura,12,NA,NA,NA,NA,NA,NA,NA
1998,Fukuoka Daiei Hawks,1B,johjim001ken,Kenji Johjima,11,NA,NA,NA,NA,NA,NA,NA
1998,Fukuoka Daiei Hawks,1B,ohmich001nor,Noriyoshi Omichi,10,NA,NA,NA,NA,NA,NA,NA
1998,Fukuoka Daiei Hawks,1B,yoshin001koi,Koichiro Yoshinaga,9,NA,NA,NA,NA,NA,NA,NA
1998,Fukuoka Daiei Hawks,1B,kawano001ryo,Ryo Kawano,8,NA,NA,NA,NA,NA,NA,NA
1998,Fukuoka Daiei Hawks,1B,kokubo001hir,Hiroki Kokubo,6,NA,NA,NA,NA,NA,NA,NA
1998,Fukuoka Daiei Hawks,1B,wakai-000mot,Motoyasu Wakai,4,NA,NA,NA,NA,NA,NA,NA
1998,Fukuoka Daiei Hawks,1B,honma-001mit,Mitsuru Homma,2,NA,NA,NA,NA,NA,NA,NA
1998,Fukuoka Daiei Hawks,1B,matsun001nob,Nobuhiko Matsunaka,2,NA,NA,NA,NA,NA,NA,NA
1998,Fukuoka Daiei Hawks,1B,bonish001koj,Koji Bonishi,1,NA,NA,NA,NA,NA,NA,NA
