Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1999,Fukuoka Daiei Hawks,OF,shibah001hir,Hiroshi Shibahara,126,NA,NA,NA,NA,NA,NA,NA
1999,Fukuoka Daiei Hawks,OF,akiyam001koj,Koji Akiyama,111,NA,NA,NA,NA,NA,NA,NA
1999,Fukuoka Daiei Hawks,OF,murama001ari,Arihito Muramatsu,104,NA,NA,NA,NA,NA,NA,NA
1999,Fukuoka Daiei Hawks,OF,nieves001mel,Melvin Nieves,73,NA,NA,NA,NA,NA,NA,NA
1999,Fukuoka Daiei Hawks,OF,okoshi001mot,Motoi Okoshi,72,NA,NA,NA,NA,NA,NA,NA
1999,Fukuoka Daiei Hawks,OF,matsun001nob,Nobuhiko Matsunaka,37,NA,NA,NA,NA,NA,NA,NA
1999,Fukuoka Daiei Hawks,OF,ohmich001nor,Noriyoshi Omichi,21,NA,NA,NA,NA,NA,NA,NA
1999,Fukuoka Daiei Hawks,OF,deguch001yud,Yudai Deguchi,9,NA,NA,NA,NA,NA,NA,NA
1999,Fukuoka Daiei Hawks,OF,moriya001kaz,Kazuto Moriyama,8,NA,NA,NA,NA,NA,NA,NA
1999,Fukuoka Daiei Hawks,OF,torigo001yus,Yusuke Torigoe,1,NA,NA,NA,NA,NA,NA,NA
