Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1999,Orix Blue Wave,3B,igaras001aki,Akihito Igarashi,56,NA,NA,NA,NA,NA,NA,NA
1999,Orix Blue Wave,3B,ohshim001koi,Koichi Oshima,53,NA,NA,NA,NA,NA,NA,NA
1999,Orix Blue Wave,3B,satake001man,Manabu Satake,43,NA,NA,NA,NA,NA,NA,NA
1999,Orix Blue Wave,3B,shioza001mak,Makoto Shiozaki,42,NA,NA,NA,NA,NA,NA,NA
1999,Orix Blue Wave,3B,ogawa-001hir,Hirofumi Ogawa,11,NA,NA,NA,NA,NA,NA,NA
1999,Orix Blue Wave,3B,matsum001shu,Shuichiro Matsumoto,2,NA,NA,NA,NA,NA,NA,NA
1999,Orix Blue Wave,3B,aikawa001ryo,Ryota Aikawa,1,NA,NA,NA,NA,NA,NA,NA
1999,Orix Blue Wave,3B,fukuto001hir,Hiroki Fukutome,1,NA,NA,NA,NA,NA,NA,NA
1999,Orix Blue Wave,3B,imamur001fum,Fumiaki Imamura,1,NA,NA,NA,NA,NA,NA,NA
1999,Orix Blue Wave,3B,saitoh001hid,Hidemitsu Saito,1,NA,NA,NA,NA,NA,NA,NA
1999,Orix Blue Wave,3B,suzuki001ich,Ichiro Suzuki,1,NA,NA,NA,NA,NA,NA,NA
