Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2000,Fukuoka Daiei Hawks,P,yoshid001shu,Shuji Yoshida,69,NA,NA,NA,NA,NA,NA,NA
2000,Fukuoka Daiei Hawks,P,watana003mas,Masakazu Watanabe,60,NA,NA,NA,NA,NA,NA,NA
2000,Fukuoka Daiei Hawks,P,shinoh001tak,Takayuki Shinohara,57,NA,NA,NA,NA,NA,NA,NA
2000,Fukuoka Daiei Hawks,P,pedraz001rod,Rod Pedraza,51,NA,NA,NA,NA,NA,NA,NA
2000,Fukuoka Daiei Hawks,P,nagado001hir,Hiroshi Nagatomi,38,NA,NA,NA,NA,NA,NA,NA
2000,Fukuoka Daiei Hawks,P,wakata001ken,Kenichi Wakatabe,31,NA,NA,NA,NA,NA,NA,NA
2000,Fukuoka Daiei Hawks,P,nagai-001tom,Tomohiro Nagai,26,NA,NA,NA,NA,NA,NA,NA
2000,Fukuoka Daiei Hawks,P,raggio001bra,Brady Raggio,25,NA,NA,NA,NA,NA,NA,NA
2000,Fukuoka Daiei Hawks,P,tanoue001kei,Keisaburo Tanoue,24,NA,NA,NA,NA,NA,NA,NA
2000,Fukuoka Daiei Hawks,P,saitoh001kaz,Kazumi Saito,22,NA,NA,NA,NA,NA,NA,NA
2000,Fukuoka Daiei Hawks,P,hoshin001jun,Junji Hoshino,18,NA,NA,NA,NA,NA,NA,NA
2000,Fukuoka Daiei Hawks,P,watana001hid,Hidekazu Watanabe,16,NA,NA,NA,NA,NA,NA,NA
2000,Fukuoka Daiei Hawks,P,doi---001mas,Masahiro Doi,14,NA,NA,NA,NA,NA,NA,NA
2000,Fukuoka Daiei Hawks,P,mizuta001aki,Akio Mizuta,14,NA,NA,NA,NA,NA,NA,NA
2000,Fukuoka Daiei Hawks,P,matsum001aki,Akira Matsumoto,11,NA,NA,NA,NA,NA,NA,NA
2000,Fukuoka Daiei Hawks,P,okamot001kat,Katsunori Okamoto,7,NA,NA,NA,NA,NA,NA,NA
2000,Fukuoka Daiei Hawks,P,matsu-001nob,Nobuyasu Matsu,3,NA,NA,NA,NA,NA,NA,NA
2000,Fukuoka Daiei Hawks,P,sakumo001mas,Masahiro Sakumoto,3,NA,NA,NA,NA,NA,NA,NA
2000,Fukuoka Daiei Hawks,P,kurano001shi,Shinji Kurano,2,NA,NA,NA,NA,NA,NA,NA
2000,Fukuoka Daiei Hawks,P,kimura001shi,Shigeru Kimura,1,NA,NA,NA,NA,NA,NA,NA
2000,Fukuoka Daiei Hawks,P,nishim001tat,Tatsuji Nishimura,1,NA,NA,NA,NA,NA,NA,NA
2000,Fukuoka Daiei Hawks,P,randel001mat,Matt Randel,1,NA,NA,NA,NA,NA,NA,NA
2000,Fukuoka Daiei Hawks,P,tanaka001soh,Soji Tanaka,1,NA,NA,NA,NA,NA,NA,NA
