Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2002,Nippon Ham Fighters,OF,ide---001tat,Tatsuya Ide,119,NA,NA,NA,NA,NA,NA,NA
2002,Nippon Ham Fighters,OF,cromer001dav,D.T. Cromer,103,NA,NA,NA,NA,NA,NA,NA
2002,Nippon Ham Fighters,OF,nakamu001yut,Yutaka Nakamura,74,NA,NA,NA,NA,NA,NA,NA
2002,Nippon Ham Fighters,OF,morimo001hic,Hichori Morimoto,62,NA,NA,NA,NA,NA,NA,NA
2002,Nippon Ham Fighters,OF,tanaka002yuk,Yukio Tanaka,52,NA,NA,NA,NA,NA,NA,NA
2002,Nippon Ham Fighters,OF,fujish001sei,Seigo Fujishima,43,NA,NA,NA,NA,NA,NA,NA
2002,Nippon Ham Fighters,OF,ishimo001tsu,Tsutomu Ishimoto,31,NA,NA,NA,NA,NA,NA,NA
2002,Nippon Ham Fighters,OF,ueda--001yos,Yoshinori Ueda,19,NA,NA,NA,NA,NA,NA,NA
2002,Nippon Ham Fighters,OF,obando001she,Sherman Obando,17,NA,NA,NA,NA,NA,NA,NA
2002,Nippon Ham Fighters,OF,nishiu001kat,Katsuhiro Nishiura,13,NA,NA,NA,NA,NA,NA,NA
2002,Nippon Ham Fighters,OF,noguch001tos,Toshihiro Noguchi,11,NA,NA,NA,NA,NA,NA,NA
2002,Nippon Ham Fighters,OF,arai--001nob,Nobuaki Arai,3,NA,NA,NA,NA,NA,NA,NA
2002,Nippon Ham Fighters,OF,harada001mas,Masahiko Harada,2,NA,NA,NA,NA,NA,NA,NA
2002,Nippon Ham Fighters,OF,ohgai-001yas,Yasufumi Ogai,2,NA,NA,NA,NA,NA,NA,NA
2002,Nippon Ham Fighters,OF,akune-001kok,Kokichi Akune,1,NA,NA,NA,NA,NA,NA,NA
