Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2002,Yomiuri Giants,2B,nishi-001tos,Toshihisa Nishi,103,NA,NA,NA,NA,NA,NA,NA
2002,Yomiuri Giants,2B,motoki001dai,Daisuke Motoki,27,NA,NA,NA,NA,NA,NA,NA
2002,Yomiuri Giants,2B,kawai-001mas,Masahiro Kawai,19,NA,NA,NA,NA,NA,NA,NA
2002,Yomiuri Giants,2B,miyaza001kaz,Kazuaki Miyazaki,11,NA,NA,NA,NA,NA,NA,NA
2002,Yomiuri Giants,2B,kawana001mot,Mototsugu Kawanaka,8,NA,NA,NA,NA,NA,NA,NA
2002,Yomiuri Giants,2B,nagaik001yas,Yasuo Nagaike,7,NA,NA,NA,NA,NA,NA,NA
2002,Yomiuri Giants,2B,kuroda001sat,Satoshi Kuroda,6,NA,NA,NA,NA,NA,NA,NA
2002,Yomiuri Giants,2B,crespo001fel,Felipe Crespo,3,NA,NA,NA,NA,NA,NA,NA
2002,Yomiuri Giants,2B,fukui-001kei,Keiji Fukui,3,NA,NA,NA,NA,NA,NA,NA
2002,Yomiuri Giants,2B,sogawa001tak,Takatomi Sogawa,3,NA,NA,NA,NA,NA,NA,NA
2002,Yomiuri Giants,2B,suzuki001tak,Takahiro Suzuki,1,NA,NA,NA,NA,NA,NA,NA
