Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2006,Orix Buffaloes,P,katoh-001dai,Daisuke Kato,61,NA,4,6,1,1,0.909,0.16
2006,Orix Buffaloes,P,kikuch001tsu,Tsuyoshi Kikuchihara,45,NA,1,6,0,0,1,0.16
2006,Orix Buffaloes,P,ohkubo001mas,Masanobu Okubo,36,NA,3,2,1,1,0.833,0.14
2006,Orix Buffaloes,P,yamamo001sho,Shogo Yamamoto,35,NA,0,4,0,0,1,0.11
2006,Orix Buffaloes,P,tanaka001yuk,Yuki Tanaka,34,NA,3,12,0,0,1,0.44
2006,Orix Buffaloes,P,hagiwa001jun,Jun Hagiwara,33,NA,1,7,1,0,0.889,0.24
2006,Orix Buffaloes,P,hirano001yos,Yoshihisa Hirano,26,NA,11,36,3,2,0.94,1.81
2006,Orix Buffaloes,P,motoya001kaz,Kazuya Motoyanagi,25,NA,8,13,1,0,0.955,0.84
2006,Orix Buffaloes,P,davey-001tho,Tom Davey,24,NA,10,31,2,0,0.953,1.71
2006,Orix Buffaloes,P,kawago001hid,Hidetaka Kawagoe,24,NA,16,41,0,4,1,2.38
2006,Orix Buffaloes,P,maekaw001kat,Kat Maekawa,24,NA,6,12,2,0,0.9,0.75
2006,Orix Buffaloes,P,kaneko001chi,Chihiro Kaneko,21,NA,4,6,1,0,0.909,0.48
2006,Orix Buffaloes,P,takagi001yas,Yasunari Takagi,21,NA,0,3,0,0,1,0.14
2006,Orix Buffaloes,P,yoshii001mas,Masato Yoshii,19,NA,7,13,0,2,1,1.05
2006,Orix Buffaloes,P,yoshik001kat,Katsunari Yoshikawa,15,NA,2,2,0,0,1,0.27
2006,Orix Buffaloes,P,obermu001wes,Wes Obermueller,14,NA,3,3,3,0,0.667,0.43
2006,Orix Buffaloes,P,katoh-001tat,Tatsuo Kato,13,NA,0,2,0,0,1,0.15
2006,Orix Buffaloes,P,nakaya001shi,Shinya Nakayama,11,NA,2,5,1,0,0.875,0.64
2006,Orix Buffaloes,P,matsum001toy,Toyoji Matsumura,8,NA,1,3,0,1,1,0.5
2006,Orix Buffaloes,P,serafi001dan,Dan Serafini,7,NA,2,1,0,0,1,0.43
2006,Orix Buffaloes,P,katsuk001ryo,Ryota Katsuki,6,NA,0,3,0,0,1,0.5
2006,Orix Buffaloes,P,kishid001mam,Mamoru Kishida,6,NA,2,1,0,0,1,0.5
2006,Orix Buffaloes,P,abe---001ken,Kenta Abe,5,NA,2,2,0,0,1,0.8
2006,Orix Buffaloes,P,yamagu001kaz,Kazuo Yamaguchi,1,NA,0,0,0,0,NA,0
