Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2007,Hiroshima Carp,P,nagaka001kat,Katsuhiro Nagakawa,61,NA,3,9,0,0,1,0.2
2007,Hiroshima Carp,P,yokoya001ryu,Ryuji Yokoyama,60,NA,3,8,0,3,1,0.18
2007,Hiroshima Carp,P,hayash001mas,Masaki Hayashi,57,NA,4,14,1,2,0.947,0.32
2007,Hiroshima Carp,P,umetsu001tom,Tomohiro Umetsu,47,NA,1,8,0,0,1,0.19
2007,Hiroshima Carp,P,aoki--001hay,Hayato Aoki,43,NA,2,6,0,2,1,0.19
2007,Hiroshima Carp,P,hiroik001koj,Koji Hiroike,32,NA,0,1,1,0,0.5,0.03
2007,Hiroshima Carp,P,miyaza001mic,Michito Miyazaki,31,NA,4,15,2,0,0.905,0.61
2007,Hiroshima Carp,P,ueno--001hir,Hirofumi Ueno,31,NA,1,5,0,1,1,0.19
2007,Hiroshima Carp,P,fernan001jar,Jared Fernández,30,NA,3,15,0,1,1,0.6
2007,Hiroshima Carp,P,aoki--001tak,Takahiro Aoki,29,NA,9,14,0,2,1,0.79
2007,Hiroshima Carp,P,ohtake001kan,Kan Otake,27,NA,9,31,1,3,0.976,1.48
2007,Hiroshima Carp,P,hasega001mas,Masayuki Hasegawa,26,NA,8,18,0,0,1,1
2007,Hiroshima Carp,P,kuroda001hir,Hiroki Kuroda,26,NA,8,34,2,1,0.955,1.62
2007,Hiroshima Carp,P,takaha001ken,Ken Takahashi,22,NA,4,19,1,2,0.958,1.05
2007,Hiroshima Carp,P,satake001ken,Kenta Satake,20,NA,0,1,0,0,1,0.05
2007,Hiroshima Carp,P,marte-003vic,Víctor Marté,17,NA,0,4,1,0,0.8,0.24
2007,Hiroshima Carp,P,kawauc001tak,Takaya Kawauchi,14,NA,0,2,0,0,1,0.14
2007,Hiroshima Carp,P,sasaok001shi,Shinji Sasaoka,12,NA,4,11,0,2,1,1.25
2007,Hiroshima Carp,P,mori--001cho,Choji Mori,4,NA,0,2,0,0,1,0.5
2007,Hiroshima Carp,P,oyamad001yas,Yasuhiro Oyamada,3,NA,0,1,0,0,1,0.33
2007,Hiroshima Carp,P,carida001esm,Esmailin Caridad,2,NA,0,0,0,0,NA,0
2007,Hiroshima Carp,P,saitoh001yuk,Yuki Saito,2,NA,0,1,0,0,1,0.5
2007,Hiroshima Carp,P,kojima001shi,Shinjiro Kojima,1,NA,0,0,0,0,NA,0
2007,Hiroshima Carp,P,ohshim001tak,Takayuki Oshima,1,NA,0,0,0,0,NA,0
