Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2009,Hiroshima Carp,OF,akamat001mas,Masato Akamatsu,133,NA,299,6,4,2,0.987,2.29
2009,Hiroshima Carp,OF,amaya-001soh,Soichiro Amaya,91,NA,156,4,6,1,0.964,1.76
2009,Hiroshima Carp,OF,hirose001jun,Jun Hirose,77,NA,94,4,2,2,0.98,1.27
2009,Hiroshima Carp,OF,philli003geo,Andy Phillips,69,NA,77,2,2,0,0.975,1.14
2009,Hiroshima Carp,OF,suenag001mas,Masafumi Suenaga,62,NA,83,1,1,0,0.988,1.35
2009,Hiroshima Carp,OF,shima-001shi,Shigenobu Shima,46,NA,52,0,1,0,0.981,1.13
2009,Hiroshima Carp,OF,kida--001go-,Go Kida,23,NA,28,0,0,0,1,1.22
2009,Hiroshima Carp,OF,kimura001sho,Shogo Kimura,14,NA,5,0,0,0,1,0.36
2009,Hiroshima Carp,OF,iwamot002tak,Takahiro Iwamoto,13,NA,11,2,0,1,1,1
2009,Hiroshima Carp,OF,mcclai001sco,Scott McClain,9,NA,6,1,0,0,1,0.78
2009,Hiroshima Carp,OF,ogata-001koh,Koichi Ogata,4,NA,3,0,0,0,1,0.75
2009,Hiroshima Carp,OF,sayash001tom,Tomoya Sayashi,2,NA,2,0,1,0,0.667,1
2009,Hiroshima Carp,OF,higash001aki,Akihiro Higashide,1,NA,0,0,0,0,NA,0
2009,Hiroshima Carp,OF,kokubo001tet,Tetsuya Kokubo,1,NA,0,1,0,1,1,1
2009,Hiroshima Carp,OF,nakahi001nao,Naoki Nakahigashi,1,NA,0,0,0,0,NA,0
