Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2009,Hokkaido Nippon Ham Fighters,OF,itoi--001yos,Yoshio Itoi,125,NA,234,7,2,2,0.992,1.93
2009,Hokkaido Nippon Ham Fighters,OF,inaba-001ats,Atsunori Inaba,119,NA,217,5,3,1,0.987,1.87
2009,Hokkaido Nippon Ham Fighters,OF,morimo001hic,Hichori Morimoto,106,NA,187,6,2,1,0.99,1.82
2009,Hokkaido Nippon Ham Fighters,OF,sledge001ter,Terrmel Sledge,59,NA,77,4,2,1,0.976,1.37
2009,Hokkaido Nippon Ham Fighters,OF,konta-001tos,Toshimasa Konta,41,NA,46,0,0,0,1,1.12
2009,Hokkaido Nippon Ham Fighters,OF,tsuboi001tom,Tomochika Tsuboi,36,NA,47,4,1,0,0.981,1.42
2009,Hokkaido Nippon Ham Fighters,OF,murata001kaz,Kazuya Murata,32,NA,25,0,0,0,1,0.78
2009,Hokkaido Nippon Ham Fighters,OF,yang--001chu,Daikan Yoh,10,NA,3,0,2,0,0.6,0.3
2009,Hokkaido Nippon Ham Fighters,OF,sato--001yos,Yoshihiro Sato,7,NA,6,0,0,0,1,0.86
2009,Hokkaido Nippon Ham Fighters,OF,iiyama001yuj,Yuji Iiyama,2,NA,1,0,0,0,1,0.5
