Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2010,Fukuoka Softbank Hawks,OF,tamura001hit,Hitoshi Tamura,136,NA,226,3,2,0,0.991,1.68
2010,Fukuoka Softbank Hawks,OF,hasega001yuy,Yuya Hasegawa,134,NA,268,4,3,0,0.989,2.03
2010,Fukuoka Softbank Hawks,OF,kidoko001ryu,Ryuma Kidokoro,90,NA,38,1,0,0,1,0.43
2010,Fukuoka Softbank Hawks,OF,ortiz-003jos,José Ortiz,76,NA,84,3,5,0,0.946,1.14
2010,Fukuoka Softbank Hawks,OF,shibah001hir,Hiroshi Shibahara,53,NA,63,4,0,0,1,1.26
2010,Fukuoka Softbank Hawks,OF,matsun001nob,Nobuhiko Matsunaka,27,NA,28,0,0,0,1,1.04
2010,Fukuoka Softbank Hawks,OF,akashi001ken,Kenji Akashi,17,NA,15,0,0,0,1,0.88
2010,Fukuoka Softbank Hawks,OF,egawa-001tom,Tomoaki Egawa,16,NA,26,0,0,0,1,1.63
2010,Fukuoka Softbank Hawks,OF,fukuda001shu,Shuhei Fukuda,13,NA,7,0,0,0,1,0.54
2010,Fukuoka Softbank Hawks,OF,matsud001nob,Nobuhiro Matsuda,13,NA,11,0,0,0,1,0.85
