Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2011,Orix Buffaloes,OF,sakagu001tom,Tomotaka Sakaguchi,144,NA,289,7,0,3,1,2.06
2011,Orix Buffaloes,OF,okada-001tak,Takahiro Okada,110,NA,196,4,4,1,0.98,1.82
2011,Orix Buffaloes,OF,moriya001mak,Makoto Moriyama,63,NA,73,2,1,0,0.987,1.19
2011,Orix Buffaloes,OF,taguch001so-,So Taguchi,46,NA,74,2,0,0,1,1.65
2011,Orix Buffaloes,OF,akada-001sho,Shogo Akada,45,NA,59,1,0,0,1,1.33
2011,Orix Buffaloes,OF,yoshid001shi,Shintaro Yoshida,30,NA,48,0,1,0,0.98,1.6
2011,Orix Buffaloes,OF,goto--000shu,Shunta Gotoh,28,NA,30,1,1,1,0.969,1.11
2011,Orix Buffaloes,OF,arakan001his,Hisao Arakane,27,NA,34,0,1,0,0.971,1.26
2011,Orix Buffaloes,OF,fukae-000mas,Masato Fukae,23,NA,10,0,1,0,0.909,0.43
2011,Orix Buffaloes,OF,kajimo001yus,Yusuke Kajimoto,13,NA,11,1,0,1,1,0.92
2011,Orix Buffaloes,OF,shimoy001shi,Shinji Shimoyama,10,NA,15,0,0,0,1,1.5
2011,Orix Buffaloes,OF,caraba001fra,Francisco Caraballo,2,NA,1,0,0,0,1,0.5
2011,Orix Buffaloes,OF,nonaka001shi,Shingo Nonaka,1,NA,1,0,0,0,1,1
