Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2011,Tohoku Rakuten Golden Eagles,1B,garcia002lui,Luis Garcia,59,NA,426,21,5,35,0.989,7.58
2011,Tohoku Rakuten Golden Eagles,1B,kusano001dai,Daisuke Kusano,44,NA,222,19,2,11,0.992,5.48
2011,Tohoku Rakuten Golden Eagles,1B,yamasa002tak,Takeshi Yamasaki,32,NA,203,9,2,14,0.991,6.63
2011,Tohoku Rakuten Golden Eagles,1B,hirais001yos,Yosuke Hiraishi,26,NA,52,4,0,4,1,2.15
2011,Tohoku Rakuten Golden Eagles,1B,akamin001gin,Ginji Akaminai,15,NA,136,8,0,8,1,9.6
2011,Tohoku Rakuten Golden Eagles,1B,nishim001wat,Wataru Nishimura,13,NA,25,0,0,2,1,1.92
2011,Tohoku Rakuten Golden Eagles,1B,yokoga001fum,Fuminori Yokogawa,11,NA,78,3,0,4,1,7.36
2011,Tohoku Rakuten Golden Eagles,1B,ohiro-001sho,Shoji Ohiro,8,NA,58,7,0,5,1,8.13
2011,Tohoku Rakuten Golden Eagles,1B,ruiz--001ran,Randy Ruiz,5,NA,40,2,0,4,1,8.4
2011,Tohoku Rakuten Golden Eagles,1B,morita001job,Jobu Morita,2,NA,4,0,0,1,1,2
