Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2011,Yakult Swallows,OF,aoki--001nor,Nori Aoki,144,NA,321,8,3,2,0.991,2.28
2011,Yakult Swallows,OF,balent001wla,Wladimir Balentien,140,NA,217,11,8,3,0.966,1.63
2011,Yakult Swallows,OF,hatake001kaz,Kazuhiro Hatakeyama,62,NA,84,3,2,0,0.978,1.4
2011,Yakult Swallows,OF,iihara001yas,Yasushi Iihara,51,NA,49,1,0,0,1,0.98
2011,Yakult Swallows,OF,takeuc001shi,Shinichi Takeuchi,31,NA,39,2,0,0,1,1.32
2011,Yakult Swallows,OF,fukuch001kaz,Kazuki Fukuchi,30,NA,33,0,0,0,1,1.1
2011,Yakult Swallows,OF,miwa--001mas,Masayoshi Miwa,28,NA,8,0,0,0,1,0.29
2011,Yakult Swallows,OF,miyade001ryu,Ryuji Miyade,14,NA,16,0,0,0,1,1.14
2011,Yakult Swallows,OF,ueda--001tsu,Tsuyoshi Ueda,10,NA,16,4,0,0,1,2
2011,Yakult Swallows,OF,guiel-001aar,Aaron Guiel,8,NA,10,0,0,0,1,1.25
2011,Yakult Swallows,OF,matsum001yui,Yuichi Matsumoto,8,NA,9,0,0,0,1,1.13
2011,Yakult Swallows,OF,hamana001osa,Osamu Hamanaka,5,NA,5,1,0,0,1,1.2
2011,Yakult Swallows,OF,noguch001yos,Yoshiyuki Noguchi,4,NA,0,0,0,0,NA,0
