Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2012,Yokohama Bay Stars,P,kikuch001kaz,Kazumasa Kikuchi,63,NA,0,6,0,0,1,0.1
2012,Yokohama Bay Stars,P,kaga--001shi,Shigeru Kaga,61,NA,3,7,1,0,0.909,0.16
2012,Yokohama Bay Stars,P,yamagu001shu,Shun Yamaguchi,60,NA,4,14,0,1,1,0.3
2012,Yokohama Bay Stars,P,fujie-001hit,Hitoshi Fujie,52,NA,0,11,0,1,1,0.21
2012,Yokohama Bay Stars,P,shinoh001tak,Takayuki Shinohara,50,NA,1,7,0,1,1,0.16
2012,Yokohama Bay Stars,P,kobaya001fut,Futoshi Kobayashi,35,NA,7,17,0,0,1,0.69
2012,Yokohama Bay Stars,P,ohara-000shi,Shinji Ohara,33,NA,2,5,0,2,1,0.21
2012,Yokohama Bay Stars,P,hayash002mas,Masanori Hayashi,32,NA,2,11,0,3,1,0.41
2012,Yokohama Bay Stars,P,miura-001dai,Daisuke Miura,25,NA,8,49,0,3,1,2.28
2012,Yokohama Bay Stars,P,takasa001ken,Kentaro Takasaki,24,NA,9,31,1,2,0.976,1.67
2012,Yokohama Bay Stars,P,kuniyo000yuk,Yuki Kuniyoshi,19,NA,6,24,2,3,0.938,1.58
2012,Yokohama Bay Stars,P,kosugi001yot,Yota Kosugi,17,NA,3,9,0,0,1,0.71
2012,Yokohama Bay Stars,P,fujii-001shu,Shugo Fujii,16,NA,1,20,0,0,1,1.31
2012,Yokohama Bay Stars,P,mann--001bra,Brandon Mann,16,NA,0,11,0,1,1,0.69
2012,Yokohama Bay Stars,P,tanaka002ken,Kenjiro Tanaka,15,NA,1,5,0,0,1,0.4
2012,Yokohama Bay Stars,P,kagami000kis,Kisho Kagami,10,NA,2,10,1,0,0.923,1.2
2012,Yokohama Bay Stars,P,hamilt002cla,Clayton Hamilton,9,NA,3,2,0,0,1,0.56
2012,Yokohama Bay Stars,P,alvara001gia,Carlos Alvarado,8,NA,6,5,1,1,0.917,1.38
2012,Yokohama Bay Stars,P,sato--001sho,Shoma Sato,6,NA,0,3,0,0,1,0.5
2012,Yokohama Bay Stars,P,wang--000yiz,I Cheng Wang,6,NA,1,5,1,0,0.857,1
2012,Yokohama Bay Stars,P,yamamo001sho,Shogo Yamamoto,6,NA,3,9,2,0,0.857,2
2012,Yokohama Bay Stars,P,fukuda001tak,Takehiro Fukuda,5,NA,0,1,1,0,0.5,0.2
2012,Yokohama Bay Stars,P,ushida001shi,Shigeki Ushida,5,NA,0,0,0,0,NA,0
2012,Yokohama Bay Stars,P,cramer002rob,Bobby Cramer,2,NA,0,3,0,0,1,1.5
2012,Yokohama Bay Stars,P,ejiri-001shi,Shintaro Ejiri,2,NA,0,1,0,0,1,0.5
2012,Yokohama Bay Stars,P,fukuya000hir,Hiroyuki Fukuyama,2,NA,0,0,0,0,NA,0
2012,Yokohama Bay Stars,P,ito---000tak,Takuro Ito,2,NA,0,1,0,0,1,0.5
2012,Yokohama Bay Stars,P,ota---001ato,Atori Ota,2,NA,1,0,0,0,1,0.5
2012,Yokohama Bay Stars,P,suda--000kot,Kota Suda,2,NA,1,4,0,1,1,2.5
