Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2014,Saitama Seibu Lions,P,takaha000tom,Tomomi Takahashi,63,NA,1,9,0,1,1,0.16
2014,Saitama Seibu Lions,P,willia001ran,Randy Williams,60,NA,3,8,1,0,0.917,0.18
2014,Saitama Seibu Lions,P,takeku001sho,Shota Takekuma,47,NA,4,5,0,0,1,0.19
2014,Saitama Seibu Lions,P,masuda000tat,Tatsushi Masuda,44,NA,2,10,0,0,1,0.27
2014,Saitama Seibu Lions,P,okamot001ats,Atsushi Okamoto,42,NA,3,8,0,0,1,0.26
2014,Saitama Seibu Lions,P,bowden001mic,Michael Bowden,36,NA,3,3,0,0,1,0.17
2014,Saitama Seibu Lions,P,toyoda000tak,Takuya Toyoda,34,NA,1,7,0,0,1,0.24
2014,Saitama Seibu Lions,P,makita000kaz,Kazuhisa Makita,26,NA,13,34,0,1,1,1.81
2014,Saitama Seibu Lions,P,nogami001ryo,Ryoma Nogami,25,NA,8,16,0,1,1,0.96
2014,Saitama Seibu Lions,P,kikuch000yus,Yusei Kikuchi,23,NA,6,33,2,0,0.951,1.7
2014,Saitama Seibu Lions,P,kishi-001tak,Takayuki Kishi,23,NA,13,25,0,3,1,1.65
2014,Saitama Seibu Lions,P,okamot001yos,Yosuke Okamoto,22,NA,5,22,3,0,0.9,1.23
2014,Saitama Seibu Lions,P,togame000ken,Ken Togame,21,NA,2,11,1,2,0.929,0.62
2014,Saitama Seibu Lions,P,fujiwa000ryo,Ryohei Fujiwara,20,NA,2,13,0,4,1,0.75
2014,Saitama Seibu Lions,P,kobaya001hir,Hiroyuki Kobayashi,15,NA,1,2,1,0,0.75,0.2
2014,Saitama Seibu Lions,P,nakago001tai,Taiki Nakago,14,NA,2,4,0,0,1,0.43
2014,Saitama Seibu Lions,P,iwao--001tos,Toshihiro Iwao,13,NA,0,4,0,0,1,0.31
2014,Saitama Seibu Lions,P,reynol001gre,Greg Reynolds,12,NA,5,15,0,1,1,1.67
2014,Saitama Seibu Lions,P,miyata001kaz,Kazuki Miyata,10,NA,0,2,0,1,1,0.2
2014,Saitama Seibu Lions,P,nishig001fum,Fumiya Nishiguchi,8,NA,0,1,0,0,1,0.13
2014,Saitama Seibu Lions,P,tanaka001yas,Yasuhiro Tanaka,8,NA,0,2,0,0,1,0.25
2014,Saitama Seibu Lions,P,hirano001mas,Masamitsu Hirano,7,NA,0,1,0,0,1,0.14
2014,Saitama Seibu Lions,P,koishi000hir,Hirotaka Koishi,4,NA,0,3,0,1,1,0.75
2014,Saitama Seibu Lions,P,aiuchi000mak,Makoto Aiuchi,2,NA,0,0,0,0,NA,0
