Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2015,Yomiuri Giants,P,mathie001sco,Scott Mathieson,63,NA,3,10,2,1,0.867,0.21
2015,Yomiuri Giants,P,sawamu000hir,Hirokazu Sawamura,60,NA,3,11,0,0,1,0.23
2015,Yomiuri Giants,P,yamagu001tet,Tetsuya Yamaguchi,60,NA,0,11,1,0,0.917,0.18
2015,Yomiuri Giants,P,tone--000chi,Chiaki Tone,46,NA,0,9,0,0,1,0.2
2015,Yomiuri Giants,P,miyagu000ryo,Ryosuke Miyaguni,39,NA,0,8,1,0,0.889,0.21
2015,Yomiuri Giants,P,takagi000kyo,Kyosuke Takagi,33,NA,2,6,0,0,1,0.24
2015,Yomiuri Giants,P,takagi000hay,Hayato Takagi,26,NA,7,22,0,1,1,1.12
2015,Yomiuri Giants,P,sugano001tom,Tomoyuki Sugano,25,NA,11,39,1,1,0.98,2
2015,Yomiuri Giants,P,poreda001aar,Aaron Poreda,24,NA,5,34,0,0,1,1.63
2015,Yomiuri Giants,P,mikola001mil,Miles Mikolas,21,NA,13,27,0,0,1,1.9
2015,Yomiuri Giants,P,kasaha000sho,Shoki Kasahara,20,NA,0,4,0,0,1,0.2
2015,Yomiuri Giants,P,tahara000sei,Seiji Tahara,18,NA,0,4,0,0,1,0.22
2015,Yomiuri Giants,P,sugiuc001tos,Toshiya Sugiuchi,17,NA,2,12,1,0,0.933,0.82
2015,Yomiuri Giants,P,katsuk001ryo,Ryota Katsuki,14,NA,0,1,0,0,1,0.07
2015,Yomiuri Giants,P,taguch000kaz,Kazuto Taguchi,13,NA,3,11,0,1,1,1.08
2015,Yomiuri Giants,P,ohtake001kan,Kan Otake,11,NA,1,18,1,1,0.95,1.73
2015,Yomiuri Giants,P,tsuchi000miz,Mizuki Tsuchida,11,NA,0,3,0,0,1,0.27
2015,Yomiuri Giants,P,koyama000yuk,Yuki Koyama,7,NA,0,0,0,0,NA,0
2015,Yomiuri Giants,P,utsumi001tet,Tetsuya Utsumi,5,NA,1,6,0,1,1,1.4
2015,Yomiuri Giants,P,yanuki001tos,Toshiyuki Yanuki,3,NA,1,0,0,0,1,0.33
2015,Yomiuri Giants,P,mendoz000hec,Héctor Mendoza,2,NA,0,0,0,0,NA,0
2015,Yomiuri Giants,P,nishim001ken,Kentaro Nishimura,1,NA,0,0,0,0,NA,0
