Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2017,Saitama Seibu Lions,OF,akiyam000sho,Shogo Akiyama,143,NA,279,7,3,2,0.99,2
2017,Saitama Seibu Lions,OF,tonosa000shu,Shuta Tonosaki,118,NA,177,4,2,0,0.989,1.53
2017,Saitama Seibu Lions,OF,kimura001fum,Fumikazu Kimura,101,NA,106,1,2,0,0.982,1.06
2017,Saitama Seibu Lions,OF,kaneko001yuj,Yuji Kaneko,87,NA,138,2,4,0,0.972,1.61
2017,Saitama Seibu Lions,OF,kuriya001tak,Takumi Kuriyama,34,NA,42,0,1,0,0.977,1.24
2017,Saitama Seibu Lions,OF,tashir000sho,Shotaro Tashiro,30,NA,32,0,0,0,1,1.07
2017,Saitama Seibu Lions,OF,sakata001ryo,Ryo Sakata,6,NA,5,0,0,0,1,0.83
2017,Saitama Seibu Lions,OF,otaki-000ait,Aito Takeda,6,NA,2,0,0,0,1,0.33
2017,Saitama Seibu Lions,OF,saito-001sho,Shogo Saito,5,NA,3,0,0,0,1,0.6
2017,Saitama Seibu Lions,OF,mizugu000dai,Daichi Mizuguchi,2,NA,2,0,0,0,1,1
