Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2017,Yakult Swallows,P,ishiya000tai,Taichi Ishiyama,66,NA,3,10,1,0,0.929,0.2
2017,Yakult Swallows,P,lueke-001jos,Josh Lueke,61,NA,6,5,3,0,0.786,0.18
2017,Yakult Swallows,P,kondoh001kaz,Kazuki Kondoh,54,NA,2,6,0,0,1,0.15
2017,Yakult Swallows,P,akiyos000ryo,Ryo Akiyoshi,43,NA,4,5,0,0,1,0.21
2017,Yakult Swallows,P,matsuo001ken,Kenichi Matsuoka,37,NA,1,3,0,0,1,0.11
2017,Yakult Swallows,P,yamamo000tet,Tetsuya Yamamoto,32,NA,2,4,1,0,0.857,0.19
2017,Yakult Swallows,P,guilme001pre,Preston Guilmet,28,NA,7,3,0,1,1,0.36
2017,Yakult Swallows,P,nakaza001mas,Masato Nakazawa,28,NA,3,6,0,1,1,0.32
2017,Yakult Swallows,P,hara--000jur,Juri Hara,26,NA,8,23,1,1,0.969,1.19
2017,Yakult Swallows,P,buchan001dav,David Buchanan,25,NA,7,27,1,0,0.971,1.36
2017,Yakult Swallows,P,hoshi-000tom,Tomoya Hoshi,24,NA,5,19,1,1,0.96,1
2017,Yakult Swallows,P,ishika001mas,Masanori Ishikawa,23,NA,5,23,0,0,1,1.22
2017,Yakult Swallows,P,ogawa-001yas,Yasuhiro Ogawa,22,NA,7,28,2,1,0.946,1.59
2017,Yakult Swallows,P,murana001kyo,Kyohei Muranaka,13,NA,0,3,0,0,1,0.23
2017,Yakult Swallows,P,yamana000hir,Hirofumi Yamanaka,13,NA,8,15,0,0,1,1.77
2017,Yakult Swallows,P,naruse001yos,Yoshihisa Naruse,12,NA,1,3,0,0,1,0.33
2017,Yakult Swallows,P,sato--002yos,Yoshinori Satoh,10,NA,6,8,2,0,0.875,1.4
2017,Yakult Swallows,P,kyuko-000ken,Kentaro Kyuko,6,NA,0,0,0,0,NA,0
2017,Yakult Swallows,P,sugiur000tos,Toshihiro Sugiura,5,NA,0,0,0,0,NA,0
2017,Yakult Swallows,P,dohi--000hir,Hiroaki Dohi,4,NA,0,0,0,0,NA,0
2017,Yakult Swallows,P,hirai-000ryo,Ryo Hirai,4,NA,0,1,1,0,0.5,0.25
2017,Yakult Swallows,P,ohlend001cur,Ross Ohlendorf,4,NA,2,1,0,0,1,0.75
2017,Yakult Swallows,P,kazaha000ren,Ren Kazahari,3,NA,1,0,0,0,1,0.33
2017,Yakult Swallows,P,iwahas000kei,Keiji Iwahashi,2,NA,0,4,0,1,1,2
2017,Yakult Swallows,P,kikusa000ryu,Ryusuke Kikusawa,2,NA,0,0,0,0,NA,0
2017,Yakult Swallows,P,nakao-000hik,Hikaru Nakao,2,NA,0,1,0,0,1,0.5
2017,Yakult Swallows,P,nakash000sho,Shogo Nakashima,2,NA,1,0,0,0,1,0.5
2017,Yakult Swallows,P,tateya001sho,Shohei Tateyama,2,NA,1,1,0,0,1,1
2017,Yakult Swallows,P,umeno-000yug,Yugo Umeno,2,NA,0,1,0,0,1,0.5
2017,Yakult Swallows,P,yagi--000sho,Shogo Yagi,2,NA,0,0,0,0,NA,0
2017,Yakult Swallows,P,terash000nar,Naruki Terashima,1,NA,0,2,0,0,1,2
