Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2019,Fukuoka Softbank Hawks,1B,uchika001sei,Seiichi Uchikawa,130,NA,1001,93,0,79,1,8.42
2019,Fukuoka Softbank Hawks,1B,akashi001ken,Kenji Akashi,18,NA,72,4,0,7,1,4.22
2019,Fukuoka Softbank Hawks,1B,mimori000mas,Masaki Mimori,9,NA,38,1,0,3,1,4.33
2019,Fukuoka Softbank Hawks,1B,takata000tom,Tomoki Takata,8,NA,8,1,0,1,1,1.13
2019,Fukuoka Softbank Hawks,1B,fukuda001shu,Shuhei Fukuda,6,NA,5,0,0,1,1,0.83
2019,Fukuoka Softbank Hawks,1B,mima--000yuk,Yuki Mima,6,NA,15,0,0,2,1,2.5
2019,Fukuoka Softbank Hawks,1B,kawash001kei,Keizo Kawashima,5,NA,18,2,0,2,1,4
2019,Fukuoka Softbank Hawks,1B,nakamu000aki,Akira Nakamura,5,NA,10,1,0,1,1,2.2
2019,Fukuoka Softbank Hawks,1B,gracia000yur,Yurisbel Gracial,1,NA,15,0,1,0,0.938,15
2019,Fukuoka Softbank Hawks,1B,tsukad000mas,Masayoshi Tsukada,1,NA,1,0,0,0,1,1
