Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2019,Tohoku Rakuten Golden Eagles,OF,shimau002hir,Hiroaki Shimauchi,130,NA,264,4,0,2,1,2.06
2019,Tohoku Rakuten Golden Eagles,OF,tatsum000ryo,Ryosuke Tatsumi,121,NA,204,6,2,3,0.991,1.74
2019,Tohoku Rakuten Golden Eagles,OF,tanaka004kaz,Kazuki Tanaka,54,NA,97,1,1,0,0.99,1.81
2019,Tohoku Rakuten Golden Eagles,OF,okoye-000lou,Louis Okoye,49,NA,70,1,0,0,1,1.45
2019,Tohoku Rakuten Golden Eagles,OF,blash-001jab,Jabari Blash,47,NA,74,1,1,0,0.987,1.6
2019,Tohoku Rakuten Golden Eagles,OF,shimoz000ko-,Ko Shimozuru,41,NA,33,1,2,0,0.944,0.83
2019,Tohoku Rakuten Golden Eagles,OF,watana000yos,Yoshiaki Watanabe,40,NA,50,2,1,0,0.981,1.3
2019,Tohoku Rakuten Golden Eagles,OF,wada--000ren,Ren Wada,16,NA,18,0,0,0,1,1.13
2019,Tohoku Rakuten Golden Eagles,OF,ogo---000yuy,Yuya Ogoh,15,NA,13,0,1,0,0.929,0.87
2019,Tohoku Rakuten Golden Eagles,OF,fernan000luc,Luciano Fernando,12,NA,16,0,0,0,1,1.33
2019,Tohoku Rakuten Golden Eagles,OF,shimai000hir,Hirohito Shimai,10,NA,4,0,0,0,1,0.4
2019,Tohoku Rakuten Golden Eagles,OF,hashim001ita,Itaru Hashimoto,7,NA,2,0,0,0,1,0.29
2019,Tohoku Rakuten Golden Eagles,OF,yamash000aya,Ayatsugu Yamashita,3,NA,1,0,0,0,1,0.33
2019,Tohoku Rakuten Golden Eagles,OF,wheele001zel,Zelous Wheeler,1,NA,0,0,0,0,NA,0
