Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2020,Hiroshima Carp,3B,dobaya000sho,Shota Dohbayashi,93,NA,40,149,17,12,0.917,2.03
2020,Hiroshima Carp,3B,miyosh002tak,Takumi Miyoshi,53,NA,9,24,1,0,0.971,0.62
2020,Hiroshima Carp,3B,mejia-002ale,Alejandro Mejia,19,NA,9,17,5,2,0.839,1.37
2020,Hiroshima Carp,3B,uemoto000tak,Takashi Uemoto,10,NA,0,2,0,0,1,0.2
2020,Hiroshima Carp,3B,sone--000kai,Kaisei Sone,8,NA,3,0,0,0,1,0.38
2020,Hiroshima Carp,3B,hatsuk000ryu,Ryutaro Hatsuki,4,NA,7,5,0,2,1,3
2020,Hiroshima Carp,3B,abe---000tom,Tomohiro Abe,2,NA,4,2,0,1,1,3
2020,Hiroshima Carp,3B,pirela001jos,José Pirela,2,NA,1,3,1,1,0.8,2
2020,Hiroshima Carp,3B,hayash000kot,Kota Hayashi,1,NA,1,1,0,0,1,2
2020,Hiroshima Carp,3B,kozono000kai,Kaito Kozono,1,NA,0,4,0,0,1,4
