Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2021,Chiba Lotte Marines,1B,laird-001bra,Brandon Laird,99,NA,776,53,11,56,0.987,8.37
2021,Chiba Lotte Marines,1B,miki--000ryo,Ryo Miki,57,NA,74,11,0,2,1,1.49
2021,Chiba Lotte Marines,1B,yamagu000kok,Koki Yamaguchi,21,NA,120,10,1,6,0.992,6.19
2021,Chiba Lotte Marines,1B,inoue-000sei,Seiya Inoue,19,NA,115,5,2,9,0.984,6.32
2021,Chiba Lotte Marines,1B,oka---000hir,Hiromi Oka,15,NA,28,1,0,1,1,1.93
2021,Chiba Lotte Marines,1B,sugano000tsu,Tsuyoshi Sugano,14,NA,75,9,0,5,1,6
2021,Chiba Lotte Marines,1B,takaha000tak,Takuya Takahama,12,NA,15,1,0,3,1,1.33
2021,Chiba Lotte Marines,1B,kokubo001tet,Tetsuya Kokubo,4,NA,36,1,0,3,1,9.25
2021,Chiba Lotte Marines,1B,yasuda000his,Hisanori Yasuda,2,NA,2,0,0,0,1,1
2021,Chiba Lotte Marines,1B,torita001tak,Takashi Toritani,1,NA,4,0,1,0,0.8,4
