Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2021,Saitama Seibu Lions,3B,nakamu001tak,Takeya Nakamura,59,NA,31,89,3,6,0.976,2.03
2021,Saitama Seibu Lions,3B,spange000cor,Cory Spangenberg,38,NA,17,40,4,5,0.934,1.5
2021,Saitama Seibu Lions,3B,wu----000nie,Nien Ting Wu,35,NA,15,43,0,3,1,1.66
2021,Saitama Seibu Lions,3B,tysing000bra,Brandon Tysinger,26,NA,10,20,0,2,1,1.15
2021,Saitama Seibu Lions,3B,yamada001har,Haruka Yamada,24,NA,5,10,0,1,1,0.63
2021,Saitama Seibu Lions,3B,sato--001ryu,Ryusei Satoh,10,NA,2,2,0,0,1,0.4
2021,Saitama Seibu Lions,3B,hiranu000sho,Shota Hiranuma,7,NA,2,8,0,1,1,1.43
2021,Saitama Seibu Lions,3B,yamano000kak,Kakeru Yamanobe,5,NA,2,8,0,0,1,2
2021,Saitama Seibu Lions,3B,watana001ken,Kento Watanabe,2,NA,0,2,0,0,1,1
2021,Saitama Seibu Lions,3B,kumash000mas,Masato Kumashiro,1,NA,0,0,0,0,NA,0
