Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2022,Hokkaido Nippon Ham Fighters,P,kitaya000kok,Koki Kitayama,55,NA,0,8,1,0,0.889,0.15
2022,Hokkaido Nippon Ham Fighters,P,yoshid000kos,Kosei Yoshida,51,NA,4,4,0,0,1,0.16
2022,Hokkaido Nippon Ham Fighters,P,tamai-000tai,Taisho Tamai,50,NA,0,8,0,0,1,0.16
2022,Hokkaido Nippon Ham Fighters,P,hori--000miz,Mizuki Hori,41,NA,0,5,0,0,1,0.12
2022,Hokkaido Nippon Ham Fighters,P,ishika000nao,Naoya Ishikawa,36,NA,0,5,0,0,1,0.14
2022,Hokkaido Nippon Ham Fighters,P,furuka000yur,Yuri Furukawa,34,NA,7,2,0,1,1,0.26
2022,Hokkaido Nippon Ham Fighters,P,itoh--002hir,Hiromi Itoh,26,NA,11,20,2,0,0.939,1.19
2022,Hokkaido Nippon Ham Fighters,P,uehara000ken,Kenta Uehara,25,NA,3,9,0,0,1,0.48
2022,Hokkaido Nippon Ham Fighters,P,miyani001nao,Naoki Miyanishi,24,NA,2,3,0,0,1,0.21
2022,Hokkaido Nippon Ham Fighters,P,iguchi000kaz,Kazutomo Iguchi,23,NA,1,1,0,0,1,0.09
2022,Hokkaido Nippon Ham Fighters,P,uwasaw000nao,Naoyuki Uwasawa,23,NA,8,27,0,4,1,1.52
2022,Hokkaido Nippon Ham Fighters,P,kato--007tak,Takayuki Katoh,22,NA,13,11,1,2,0.96,1.09
2022,Hokkaido Nippon Ham Fighters,P,rodrig001bry,Bryan Rodriguez,22,NA,1,4,0,0,1,0.23
2022,Hokkaido Nippon Ham Fighters,P,kawano000ryu,Ryusei Kawano,21,NA,1,5,0,1,1,0.29
2022,Hokkaido Nippon Ham Fighters,P,suzuki003ken,Kenya Suzuki,19,NA,1,9,0,1,1,0.53
2022,Hokkaido Nippon Ham Fighters,P,nishim001tak,Takahiro Nishimura,18,NA,0,4,0,0,1,0.22
2022,Hokkaido Nippon Ham Fighters,P,sugiur000tos,Toshihiro Sugiura,16,NA,1,4,1,0,0.833,0.31
2022,Hokkaido Nippon Ham Fighters,P,menez-000con,Conner Menez,15,NA,0,4,0,0,1,0.27
2022,Hokkaido Nippon Ham Fighters,P,ponce-000cod,Cody Ponce,14,NA,3,7,1,0,0.909,0.71
2022,Hokkaido Nippon Ham Fighters,P,fukuda000sug,Suguru Fukuda,13,NA,0,2,0,0,1,0.15
2022,Hokkaido Nippon Ham Fighters,P,nemoto000har,Haruka Nemoto,13,NA,3,10,0,1,1,1
2022,Hokkaido Nippon Ham Fighters,P,kitaur000ryu,Ryuji Kitaura,11,NA,0,0,1,0,0,0
2022,Hokkaido Nippon Ham Fighters,P,mochiz000dai,Daiki Mochizuki,9,NA,0,0,0,0,NA,0
2022,Hokkaido Nippon Ham Fighters,P,taniga000mas,Masaki Tanigawa,9,NA,0,2,1,0,0.667,0.22
2022,Hokkaido Nippon Ham Fighters,P,ikeda-000tak,Takahide Ikeda,4,NA,1,3,0,1,1,1
2022,Hokkaido Nippon Ham Fighters,P,kakigi000ren,Ren Kakigi,4,NA,1,1,0,0,1,0.5
2022,Hokkaido Nippon Ham Fighters,P,tanaka000eit,Eito Tanaka,4,NA,1,5,0,0,1,1.5
2022,Hokkaido Nippon Ham Fighters,P,kaneko001chi,Chihiro Kaneko,3,NA,0,1,0,0,1,0.33
2022,Hokkaido Nippon Ham Fighters,P,tateno000kaz,Kazuaki Tateno,3,NA,1,3,0,0,1,1.33
2022,Hokkaido Nippon Ham Fighters,P,hasega001tak,Takehiro Hasegawa,2,NA,0,1,0,0,1,0.5
2022,Hokkaido Nippon Ham Fighters,P,nabata000tsu,Tsubasa Nabatame,2,NA,1,2,0,0,1,1.5
2022,Hokkaido Nippon Ham Fighters,P,kuroya000kyo,Kyosuke Kuroyanagi,1,NA,0,0,0,0,NA,0
2022,Hokkaido Nippon Ham Fighters,P,matsuu000kei,Keito Matsuura,1,NA,0,1,0,0,1,1
2022,Hokkaido Nippon Ham Fighters,P,tatsu-000kot,Kota Tatsu,1,NA,0,0,0,0,NA,0
