Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2022,Tohoku Rakuten Golden Eagles,P,nishig000nao,Naoto Nishiguchi,61,NA,0,6,0,0,1,0.1
2022,Tohoku Rakuten Golden Eagles,P,sung--000chi,Chia-Hao Sung,54,NA,3,8,0,1,1,0.2
2022,Tohoku Rakuten Golden Eagles,P,matsui000yuk,Yuki Matsui,53,NA,2,7,0,0,1,0.17
2022,Tohoku Rakuten Golden Eagles,P,anraku000tom,Tomohiro Anraku,52,NA,3,6,0,0,1,0.17
2022,Tohoku Rakuten Golden Eagles,P,suzuki000sor,Sora Suzuki,38,NA,2,10,0,0,1,0.32
2022,Tohoku Rakuten Golden Eagles,P,buseni000ala,Alan Busenitz,34,NA,4,7,0,0,1,0.32
2022,Tohoku Rakuten Golden Eagles,P,sakai-000tom,Tomohito Sakai,34,NA,2,7,0,0,1,0.26
2022,Tohoku Rakuten Golden Eagles,P,ishiba000ryo,Ryota Ishibashi,26,NA,1,6,0,1,1,0.27
2022,Tohoku Rakuten Golden Eagles,P,miyamo000sat,Satoshi Miyamori,26,NA,1,2,0,0,1,0.12
2022,Tohoku Rakuten Golden Eagles,P,tanaka003mas,Masahiro Tanaka,25,NA,5,24,0,2,1,1.16
2022,Tohoku Rakuten Golden Eagles,P,nishig000mas,Masaya Nishigaki,24,NA,0,5,0,0,1,0.21
2022,Tohoku Rakuten Golden Eagles,P,kishi-001tak,Takayuki Kishi,22,NA,9,20,1,0,0.967,1.32
2022,Tohoku Rakuten Golden Eagles,P,norimo000tak,Takahiro Norimoto,21,NA,5,24,1,0,0.967,1.38
2022,Tohoku Rakuten Golden Eagles,P,hayaka000tak,Takahisa Hayakawa,19,NA,2,5,2,0,0.778,0.37
2022,Tohoku Rakuten Golden Eagles,P,karash001wat,Wataru Karashima,17,NA,7,18,0,1,1,1.47
2022,Tohoku Rakuten Golden Eagles,P,takina000ryo,Ryota Takinaka,15,NA,8,16,0,0,1,1.6
2022,Tohoku Rakuten Golden Eagles,P,watana001yuk,Yuki Watanabe,13,NA,0,5,0,0,1,0.38
2022,Tohoku Rakuten Golden Eagles,P,yuge--000hay,Hayato Yuge,13,NA,1,3,0,0,1,0.31
2022,Tohoku Rakuten Golden Eagles,P,fukui-000yuy,Yuya Fukui,11,NA,0,1,0,0,1,0.09
2022,Tohoku Rakuten Golden Eagles,P,tsurus000tai,Taisei Tsurusaki,11,NA,0,3,0,0,1,0.27
2022,Tohoku Rakuten Golden Eagles,P,wakui-001hid,Hideaki Wakui,10,NA,2,14,0,0,1,1.6
2022,Tohoku Rakuten Golden Eagles,P,fujihi000sho,Shoma Fujihira,8,NA,0,4,0,0,1,0.5
2022,Tohoku Rakuten Golden Eagles,P,komine000shi,Shinri Komine,6,NA,0,1,0,0,1,0.17
2022,Tohoku Rakuten Golden Eagles,P,fujii-003mas,Masaru Fujii,4,NA,0,5,0,0,1,1.25
2022,Tohoku Rakuten Golden Eagles,P,yoshik000kaz,Kazuki Yoshikawa,4,NA,0,1,0,0,1,0.25
2022,Tohoku Rakuten Golden Eagles,P,fukuya000hir,Hiroyuki Fukuyama,3,NA,0,0,0,0,NA,0
2022,Tohoku Rakuten Golden Eagles,P,moriha000koh,Kohei Morihara,3,NA,0,1,0,0,1,0.33
2022,Tohoku Rakuten Golden Eagles,P,takata000hos,Hosei Takata,3,NA,0,2,0,0,1,0.67
2022,Tohoku Rakuten Golden Eagles,P,kamata000yos,Yoshinao Kamata,2,NA,0,2,0,0,1,1
2022,Tohoku Rakuten Golden Eagles,P,takada000koi,Koichi Takada,2,NA,0,0,0,0,NA,0
2022,Tohoku Rakuten Golden Eagles,P,matsui000tom,Tomotaka Matsui,1,NA,0,1,0,0,1,1
2022,Tohoku Rakuten Golden Eagles,P,uchima000tak,Takuma Uchima,1,NA,0,0,0,0,NA,0
