Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2023,Chiba Lotte Marines,P,masuda000nao,Naoya Masuda,58,NA,3,2,2,0,0.714,0.09
2023,Chiba Lotte Marines,P,perdom002lui,Luis Perdomo,53,NA,5,12,0,0,1,0.32
2023,Chiba Lotte Marines,P,sakamo000kos,Koshiro Sakamoto,51,NA,0,4,1,0,0.8,0.08
2023,Chiba Lotte Marines,P,nishim001tak,Takahiro Nishimura,44,NA,1,6,0,1,1,0.16
2023,Chiba Lotte Marines,P,yokoya000rik,Rikuto Yokoyama,38,NA,1,7,0,0,1,0.21
2023,Chiba Lotte Marines,P,azuma-000yus,Yusuke Azuma,36,NA,4,7,0,1,1,0.31
2023,Chiba Lotte Marines,P,sawamu000hir,Hirokazu Sawamura,34,NA,0,8,0,0,1,0.24
2023,Chiba Lotte Marines,P,iwashi000dai,Daiki Iwashita,27,NA,2,3,0,0,1,0.19
2023,Chiba Lotte Marines,P,ojima-000kaz,Kazuya Ojima,25,NA,7,28,0,8,1,1.4
2023,Chiba Lotte Marines,P,taneic000ats,Atsuki Taneichi,23,NA,9,17,1,0,0.963,1.13
2023,Chiba Lotte Marines,P,crisos000chr,Cristopher Crisostomo,22,NA,5,28,1,1,0.971,1.5
2023,Chiba Lotte Marines,P,mima--000man,Manabu Mima,18,NA,5,19,0,0,1,1.33
2023,Chiba Lotte Marines,P,nishin000yuj,Yuji Nishino,18,NA,8,13,0,1,1,1.17
2023,Chiba Lotte Marines,P,nakamu001tos,Toshiya Nakamura,17,NA,1,4,0,0,1,0.29
2023,Chiba Lotte Marines,P,sawada000kei,Keisuke Sawada,17,NA,0,1,0,0,1,0.06
2023,Chiba Lotte Marines,P,sasaki000rok,Roki Sasaki,15,NA,4,4,2,0,0.8,0.53
2023,Chiba Lotte Marines,P,nakamo000shu,Shunsuke Nakamori,13,NA,0,5,0,1,1,0.38
2023,Chiba Lotte Marines,P,suzuki002sho,Shota Suzuki,13,NA,1,3,0,0,1,0.31
2023,Chiba Lotte Marines,P,castil014lui,Luis Castillo,12,NA,3,6,1,0,0.9,0.75
2023,Chiba Lotte Marines,P,tojo--000tai,Taiki Tojo,11,NA,0,1,1,1,0.5,0.09
2023,Chiba Lotte Marines,P,ono---001fum,Fumiya Ono,10,NA,0,2,0,0,1,0.2
2023,Chiba Lotte Marines,P,hiroha000ats,Atsuya Hirohata,8,NA,0,4,0,0,1,0.5
2023,Chiba Lotte Marines,P,mori--000ryo,Ryotaro Mori,7,NA,1,3,1,0,0.8,0.57
2023,Chiba Lotte Marines,P,takano000shu,Shuta Takano,7,NA,0,1,1,1,0.5,0.14
2023,Chiba Lotte Marines,P,karaka001yuk,Yuki Karakawa,6,NA,2,0,0,0,1,0.33
2023,Chiba Lotte Marines,P,onuma-000ken,Kenta Onuma,4,NA,0,0,0,0,NA,0
2023,Chiba Lotte Marines,P,kuniyo000yuk,Yuki Kuniyoshi,3,NA,0,1,0,0,1,0.33
2023,Chiba Lotte Marines,P,yagi--000aki,Akira Yagi,3,NA,0,0,0,0,NA,0
2023,Chiba Lotte Marines,P,sasaki000chi,Chihaya Sasaki,2,NA,0,0,0,0,NA,0
2023,Chiba Lotte Marines,P,kikuch000rik,Riku Kikuchi,1,NA,1,1,0,0,1,2
2023,Chiba Lotte Marines,P,motoma000fum,Fumiya Motomae,1,NA,0,0,0,0,NA,0
