Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1953,Tokyu Flyers,kanaya000kat,Katsumi Kanayama,20,9,9,0.5,2.81,35,21,7,5,3,NA,160.1,134,60,50,10,48,NA,75,4,0,3,653,1.135,7.5,0.6,2.7,4.2,1.56
1953,Tokyu Flyers,kuwana000shi,Shigeharu Kuwana,31,8,8,0.5,2.97,36,17,11,8,3,NA,163.2,168,68,54,12,25,NA,50,2,0,0,670,1.179,9.2,0.7,1.4,2.7,2
1953,Tokyu Flyers,matsum001tad,Tadashige Matsumoto,29,0,0,NA,10.8,9,1,2,0,0,NA,13.1,20,17,16,4,9,NA,5,0,0,0,68,2.175,13.5,2.7,6.1,3.4,0.56
1953,Tokyu Flyers,miyaza000sum,Sumiya Miyazawa*,27,1,4,0.2,3.93,25,9,3,1,0,NA,68.2,68,35,30,4,21,NA,25,1,0,2,289,1.296,8.9,0.5,2.8,3.3,1.19
1953,Tokyu Flyers,ogata-001tos,Toshiaki Ogata,31,4,8,0.333,3.03,25,11,7,2,1,NA,104,105,41,35,9,23,NA,43,0,1,0,434,1.231,9.1,0.8,2,3.7,1.87
1953,Tokyu Flyers,tarui-000kat,Seiichi Tarui,24,6,5,0.545,3.13,35,7,23,1,0,NA,112,103,54,39,8,38,NA,31,0,1,2,467,1.259,8.3,0.6,3.1,2.5,0.82
1953,Tokyu Flyers,teraka000sho,Shoji Terakawa,23,1,4,0.2,5.91,21,4,6,1,1,NA,53.1,68,44,35,5,19,NA,22,0,0,1,247,1.631,11.5,0.8,3.2,3.7,1.16
1953,Tokyu Flyers,tosen-000toj,Toji Tosen,21,0,1,0,21.6,2,1,0,0,0,NA,1.2,5,4,4,0,3,NA,2,0,0,0,13,4.8,27,0,16.2,10.8,0.67
1953,Tokyu Flyers,ueno--000shi,Shigeo Ueno,30,5,7,0.417,3.06,30,14,10,3,0,NA,141,124,52,48,12,42,NA,44,0,1,1,576,1.177,7.9,0.8,2.7,2.8,1.05
1953,Tokyu Flyers,yoneka000yas,Yasuo Yonekawa,25,16,21,0.432,2.76,45,35,9,21,6,NA,274,259,105,84,10,60,NA,180,0,0,0,1119,1.164,8.5,0.3,2,5.9,3
