Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1954,Mainichi Orions,aramak000ats,Atsushi Aramaki*,28,22,12,0.647,2.32,49,24,24,15,5,NA,271,234,78,70,13,43,NA,130,3,0,0,1068,1.022,7.8,0.4,1.4,4.3,3.02
1954,Mainichi Orions,ebara-000yos,Yoshimi Ebara*,29,11,7,0.611,2.57,31,27,1,8,4,NA,185.1,151,63,53,12,72,NA,123,2,0,0,766,1.203,7.3,0.6,3.5,6,1.71
1954,Mainichi Orions,fujika000tet,Tetsuro Fujikawa,20,0,1,0,Inf,1,1,0,0,0,NA,0,2,5,4,0,3,NA,0,0,0,0,5,NA,NA,NA,NA,NA,0
1954,Mainichi Orions,ikeda-000kei,Keiichi Ikeda,18,0,0,NA,5.4,4,1,1,0,0,NA,6.2,7,7,4,0,7,NA,1,0,0,1,35,2.1,9.5,0,9.5,1.4,0.14
1954,Mainichi Orions,luis--001cha,Charles Luis,29,0,0,NA,9,1,1,0,0,0,NA,3,3,3,3,0,3,NA,0,0,0,0,15,2,9,0,9,0,0
1954,Mainichi Orions,miyaza002kaz,Kazuo Miyazaki,21,5,4,0.556,3.31,24,12,7,1,0,NA,87,82,36,32,4,36,NA,47,1,0,2,370,1.356,8.5,0.4,3.7,4.9,1.31
1954,Mainichi Orions,nakaga001tak,Takashi Nakagawa,18,1,0,1,3.15,6,1,3,1,1,NA,20,20,10,7,0,8,NA,13,1,0,1,84,1.4,9,0,3.6,5.9,1.63
1954,Mainichi Orions,shimiz003hir,Hirokazu Shimizu,21,7,3,0.7,3.28,28,12,11,2,1,NA,118,116,54,43,8,49,NA,44,1,0,3,509,1.398,8.8,0.6,3.7,3.4,0.9
1954,Mainichi Orions,sueyos000tos,Toshinobu Sueyoshi,27,1,2,0.333,2.96,11,5,5,0,0,NA,27.1,28,15,9,2,15,NA,7,0,0,1,126,1.573,9.2,0.7,4.9,2.3,0.47
1954,Mainichi Orions,sugio-000tom,Tomio Sugio,19,0,2,0,4.7,14,2,7,0,0,NA,30.2,22,21,16,1,31,NA,20,2,0,1,139,1.728,6.5,0.3,9.1,5.9,0.65
1954,Mainichi Orions,uemura000yos,Yoshinobu Uemura,19,9,15,0.375,2.25,46,18,18,5,0,NA,216,170,67,54,8,73,NA,128,0,0,4,876,1.125,7.1,0.3,3,5.3,1.75
1954,Mainichi Orions,wada--000isa,Isamu Wada,20,6,4,0.6,2.95,29,11,11,1,0,NA,109.2,75,43,36,7,51,NA,71,2,1,2,441,1.149,6.2,0.6,4.2,5.8,1.39
1954,Mainichi Orions,wada--001isa,Isao Wada*,21,16,7,0.696,2.22,40,24,11,7,1,NA,202.2,166,62,50,9,68,NA,140,2,0,9,818,1.155,7.4,0.4,3,6.2,2.06
1954,Mainichi Orions,yamane001tos,Toshihide Yamane,26,1,0,1,3.24,3,1,1,0,0,NA,8.1,9,3,3,0,5,NA,1,1,0,0,40,1.68,9.7,0,5.4,1.1,0.2
