Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1955,Osaka Tigers,akamat000ryo,Ryo Akamatsu,22,0,0,NA,6,2,0,2,0,0,NA,3,4,2,2,0,0,0,0,0,0,0,13,1.333,12,0,0,0,NA
1955,Osaka Tigers,akimit000shi,Shinji Akimitsu*,19,0,0,NA,6.75,6,1,3,0,0,NA,9.1,10,7,7,1,6,0,9,1,1,0,44,1.714,9.6,1,5.8,8.7,1.5
1955,Osaka Tigers,fujimu000tak,Takao Fujimura,34,8,3,0.727,1.99,26,21,2,3,0,NA,131.1,121,36,29,3,34,2,48,4,0,0,525,1.18,8.3,0.2,2.3,3.3,1.41
1955,Osaka Tigers,kajiok000tad,Tadayoshi Kajioka,34,0,2,0,4.21,9,6,2,0,0,NA,36.1,35,17,17,5,14,0,11,0,0,1,152,1.349,8.7,1.2,3.5,2.7,0.79
1955,Osaka Tigers,komada000kei,Keiji Komada,29,5,4,0.556,2.54,14,10,2,4,2,NA,67.1,60,27,19,6,10,0,14,1,0,1,267,1.04,8,0.8,1.3,1.9,1.4
1955,Osaka Tigers,koyama000mas,Masaaki Koyama,20,7,4,0.636,2.27,27,14,8,5,1,NA,131,110,37,33,4,34,7,75,0,0,1,515,1.099,7.6,0.3,2.3,5.2,2.21
1955,Osaka Tigers,miyaza000its,Itsuhito Miyazaki,19,1,0,1,0.89,7,2,4,0,0,NA,20.1,21,4,2,0,6,0,7,1,0,0,85,1.328,9.3,0,2.7,3.1,1.17
1955,Osaka Tigers,nishim002kaz,Kazunori Nishimura,19,22,17,0.564,2.01,60,20,37,12,5,NA,295.1,190,73,66,11,78,4,302,4,0,2,1126,0.907,5.8,0.3,2.4,9.2,3.87
1955,Osaka Tigers,nishio000shi,Shigetaka Nishio*,21,0,2,0,3.77,13,6,5,0,0,NA,28.2,27,14,12,2,24,1,24,1,0,2,129,1.779,8.5,0.6,7.5,7.5,1
1955,Osaka Tigers,osaki-000mit,Mitsuo Osaki,23,8,13,0.381,3.01,39,24,7,3,1,NA,182.2,166,77,61,7,40,4,76,7,0,1,750,1.128,8.2,0.3,2,3.7,1.9
1955,Osaka Tigers,sakaey000ets,Etsuo Sakaeya*,25,0,0,NA,5.68,4,0,2,0,0,NA,6.1,10,4,4,0,4,0,3,0,0,1,30,2.211,14.2,0,5.7,4.3,0.75
1955,Osaka Tigers,sanada000juz,Juzo Sanada,32,2,1,0.667,3.81,7,6,0,1,1,NA,26,29,14,11,2,9,2,8,1,0,0,111,1.462,10,0.7,3.1,2.8,0.89
1955,Osaka Tigers,watana000sho,Shozo Watanabe,22,18,11,0.621,2.4,46,20,17,9,3,NA,244,201,76,65,10,42,12,74,5,0,1,948,0.996,7.4,0.4,1.5,2.7,1.76
1955,Osaka Tigers,yamana000mas,Masahiro Yamanaka*,18,0,0,NA,1.8,5,0,2,0,0,NA,15,10,4,3,1,4,0,3,0,0,0,59,0.933,6,0.6,2.4,1.8,0.75
